# Minerales, piedras, metales y materiales
ABSENTA|Licor verde de ajenjo
CALANDRIA|Ave de canto imitador
CARBONERO|Pájaro de cabeza negra
CERCETA|Pato pequeño de laguna
CHOVA|Ave negra de pico rojo
CIGUENUELA|Ave zancuda de patas rojas
COLIRROJO|Pájaro de cola anaranjada
CORNEJA|Ave negra parecida al cuervo
CURRUCA|Pajarillo de matorral
ESCRIBANO|Pájaro de campo de pico cónico
FLAMENCO|Ave rosada de las marismas
FUMAREL|Ave marina ligera
GALLIPATO|Anfibio grande de charca
GANGA|Ave esteparia de vuelo veloz
GARCILLA|Garza pequeña y blanca
GAVILAN|Rapaz pequeña de bosque
HALCONCILLO|Rapaz diminuta
JILGUERO|Pájaro de cara roja y canto vivo
LAVANDERA|Pájaro de cola larga que la mueve
LECHUCILLA|Rapaz nocturna pequeña
MALVASIA|Pato de pico azul
MARTINETE|Garza nocturna
MIRLO|Pájaro negro de pico amarillo
MOCHUELO|Rapaz nocturna pequeña y cabezona
MORITO|Ave zancuda de plumaje oscuro
OROPENDOLA|Pájaro amarillo de bosque de ribera
PAGAZA|Ave marina de pico fuerte
PARDILLO|Pajarillo de pecho rojizo
PETIRROJO|Pájaro de pecho anaranjado
PICAPINOS|Pájaro carpintero manchado
PINZON|Pájaro común de bosque
PIQUITUERTO|Pájaro de pico cruzado
PORRON|Pato buceador de laguna
RABILARGO|Ave azulada de cola muy larga
ROQUERO|Pájaro de roquedos
SISON|Ave esteparia de mediano tamaño
TARABILLA|Pajarillo inquieto de los ribazos
TORCAZ|Paloma grande de bosque
TORTOLA|Paloma pequeña y esbelta
TREPADOR|Pájaro que sube por los troncos
VENCEJO|Ave de vuelo rapidísimo
VERDECILLO|Pajarillo amarillo verdoso
ZAMPULLIN|Ave acuática buceadora pequeña
ABADEJO|Pescado parecido al bacalao
ACEDIA|Pez plano pequeño
AGUJA|Pez marino alargado y fino
ALBUR|Pez de río de carne blanca
ALISTADO|Pez de bandas de color
ANGULA|Cría de la anguila muy apreciada
ARENQUE|Pez azul que se ahúma
BARBO|Pez de río de barbillas
BESUGO|Pez de ojos grandes de invierno
BOGA|Pez de río y de mar de poco valor
BOQUERON|Pez azul pequeño del Mediterráneo
CABALLA|Pez azul de lomo rayado
CABRACHO|Pez de roca espinoso
CARPA|Pez de río de escamas grandes
CAZON|Escualo pequeño de mesa
CONGRIO|Pez alargado de roca
CORVINA|Pez marino de carne fina
DENTON|Pez de fuertes dientes
DORADA|Pez de banda dorada entre los ojos
ESPADIN|Pez azul pequeño
ESTURION|Pez del que se saca el caviar
GALLO|Pez plano de carne delicada
JUREL|Pez azul de banco
LENGUADO|Pez plano de fondo arenoso
LISA|Pez de estuario de cabeza plana
LUBINA|Pez blanco muy apreciado
LUCIO|Pez depredador de agua dulce
MERO|Pez grande de roca
MOJARRA|Pez de costa plateado
MUJOL|Nombre del pez de las lisas
PALOMETA|Pez plano y plateado
PARGO|Pez de roca rojizo
PERCA|Pez de agua dulce de aletas espinosas
PEZESPADA|Pez de mandíbula en forma de espada
PINTARROJA|Escualo pequeño moteado
RAPE|Pez de fondo de cabeza enorme
RAYA|Pez plano de cuerpo romboidal
REO|Trucha marina
RODABALLO|Pez plano muy apreciado
SALMONETE|Pez rojizo de barbillas
SARGO|Pez de bandas oscuras
SOLLA|Pez plano del Atlántico
TENCA|Pez de agua dulce de piel viscosa
TRUCHA|Pez de río de carne rosada
URTA|Pez de roca gaditano
VERDEL|Nombre del pez caballa en el norte
ZAMBURINA|Molusco parecido a la vieira
ABEJORRO|Insecto grande y peludo
ARANUELO|Insecto que ataca a la vid
AVISPON|Avispa de gran tamaño
CANTARIDA|Escarabajo verde metálico
CARCOMA|Insecto que taladra la madera
CHICHARRA|Insecto que canta en el estío
CIEMPIES|Artrópodo de muchos pares de patas
COCHINILLA|Insecto del que se saca un tinte rojo
ESCOLOPENDRA|Ciempiés de mordedura dolorosa
EFIMERA|Insecto que vive solo un día
GORGOJO|Insecto que ataca a los granos
GRILLOTALPA|Insecto que cava galerías
HORMIGUERO|Insecto que vive en sociedad
LIBELULA|Insecto de alas transparentes
LUCIERNAGA|Insecto que brilla en la noche
MARIPOSA|Insecto de alas cubiertas de escamas
MOSCARDON|Mosca grande y zumbadora
NECORA|Crustáceo de las rocas
PROCESIONARIA|Oruga que va en fila por el pino
PULGON|Insecto que chupa la savia
SALTAMONTES|Insecto de patas saltadoras
TABANO|Insecto que pica al ganado
TERMITA|Insecto que devora la madera
TIJERETA|Insecto de pinzas en el abdomen
ZAPATERO|Insecto que patina sobre el agua
