# Segunda vuelta de vocabulario: de la S a la Z
SABANDIJA|Bicho pequeño y repugnante
SUJECION|Acción de sujetar
SUJETADOR|Prenda que sostiene el pecho
SULFATAR|Tratar la viña con sulfato
SULFURAR|Poner furioso
SUMARIO|Resumen o instrucción judicial
SUMERGIBLE|Que puede meterse en el agua
SUMIDERO|Desagüe del suelo
SUMILLER|Encargado de los vinos
SUMINISTRO|Provisión de lo necesario
SUMISION|Obediencia sin réplica
SUNTUOSIDAD|Gran lujo y magnificencia
SUPEDITAR|Hacer depender de algo
SUPERABUNDANCIA|Exceso muy grande
SUPERAVIT|Exceso de ingresos sobre gastos
SUPERCHERIA|Engaño con apariencia de verdad
SUPERDOTADO|De inteligencia excepcional
SUPERFICIAL|Que no profundiza
SUPERPONER|Poner una cosa sobre otra
SUPERSTICION|Creencia sin fundamento
SUPERVISAR|Vigilar un trabajo
SUPERVIVENCIA|Conservación de la vida
SUPLANTAR|Ocupar el lugar de otro con engaño
SUPLEMENTO|Añadido a una publicación
SUPLENTE|Que sustituye a otro
SUPLICIO|Tormento muy doloroso
SUPOSICION|Hipótesis que se hace
SUPREMACIA|Superioridad sobre los demás
SUPRESION|Eliminación de algo
SUPURAR|Echar pus una herida
SURCAR|Ir cortando el agua o el aire
SURGIMIENTO|Aparición de algo
SURTIDOR|Chorro que sale hacia arriba
SUSCEPTIBLE|Que se ofende con facilidad
SUSCRIPCION|Abono a una publicación
SUSODICHO|Antes mencionado
SUSPENSION|Interrupción temporal
SUSPICACIA|Desconfianza y recelo
SUSTANCIOSO|De mucho alimento o contenido
SUSTENTO|Alimento que mantiene
SUSTRACCION|Resta o robo
SUSURRO|Habla muy queda
SUTILEZA|Finura y agudeza
SUTURAR|Coser una herida
TABAQUERA|Caja donde se guarda el tabaco
TABERNACULO|Lugar donde se guarda la hostia
TABLAZON|Conjunto de tablas
TABLEAR|Dividir en tablas
TABLILLA|Tabla pequeña
TABULACION|Ordenación en columnas
TACHADURA|Raya que borra lo escrito
TACHUELA|Clavo corto de cabeza ancha
TACITURNIDAD|Carácter callado y triste
TACTICO|Relativo al plan de acción
TAFETAN|Tela delgada de seda
TAHONA|Panadería tradicional
TAHUR|Jugador tramposo
TAIMADO|Astuto y disimulado
TAJADERA|Cuchilla ancha de cortar
TALADRADORA|Máquina que perfora
TALANTE|Modo de ser y de estar
TALEGA|Saco de tela
TALISMAN|Objeto al que se atribuye poder
TALMENTE|De tal manera
TALONARIO|Cuadernillo de recibos
TAMBALEO|Movimiento inseguro
TAMBORILERO|Quien toca el tamboril
TAMIZADO|Pasado por el cedazo
TANGENCIAL|Que roza el asunto
TANQUETA|Vehículo blindado ligero
TANTEO|Prueba previa o marcador
TAPACUBOS|Pieza que cubre la llanta
TAPIZADO|Revestido de tela
TAQUIGRAFIA|Escritura rápida por signos
TAQUILLERO|Vendedor de entradas
TARANTULA|Araña grande y velluda
TARARI|Expresión de negativa burlona
TARASCADA|Mordisco violento
TARDANZA|Retraso en llegar
TAREAR|Repartir tareas
TARIFAR|Fijar el precio
TARIMA|Plataforma de madera
TARJETERO|Estuche de las tarjetas
TARTAJEAR|Hablar con tropiezos
TARTAMUDEO|Repetición involuntaria de sílabas
TARTERA|Recipiente de llevar comida
TASACION|Valoración de un bien
TASCA|Taberna modesta
TATARANIETO|Nieto del bisnieto
TAUMATURGO|Quien hace prodigios
TAURINO|Relativo a los toros
TAUTOLOGIA|Repetición inútil de una idea
TAXIDERMIA|Arte de disecar animales
TEATRALIDAD|Exageración escénica
TECHUMBRE|Cubierta del edificio
TECLEAR|Pulsar las teclas
TECNICISMO|Palabra propia de una ciencia
TECNOCRATA|Gobernante que se apoya en la técnica
TEDIOSO|Que aburre mucho
TEGUMENTO|Tejido que cubre el cuerpo
TEJEDOR|Quien trabaja en el telar
TEJEMANEJE|Enredo y manejo turbio
TELARANA|Red tejida por la araña
TELEFONEAR|Llamar por teléfono
TELEFONISTA|Quien atiende la centralita
TELEGRAFIAR|Enviar un telegrama
TELEOBJETIVO|Lente de gran alcance
TELESILLA|Remonte de la estación de esquí
TELEVIDENTE|Quien ve la televisión
TELURICO|Relativo a la Tierra
TEMBLEQUE|Que tiembla mucho
TEMERIDAD|Osadía imprudente
TEMOROSO|Lleno de miedo
TEMPERAMENTO|Carácter propio de alguien
TEMPERANCIA|Moderación en los apetitos
TEMPESTUOSO|Propio de la tormenta
TEMPLANZA|Virtud de la moderación
TEMPLETE|Construcción pequeña con columnas
TEMPORALIDAD|Carácter pasajero de algo
TEMPRANERO|Que llega antes de tiempo
TENACIDAD|Constancia en el empeño
TENDENCIOSO|Que muestra parcialidad
TENDEDERO|Lugar donde se cuelga la ropa
TENDENCIA|Inclinación hacia algo
TENEBROSIDAD|Oscuridad amenazante
TENEDURIA|Llevanza de los libros de cuentas
TENENCIA|Posesión de algo
TENTACULOS|Brazos del pulpo
TENTADOR|Que induce a caer
TENTATIVA|Intento que se realiza
TENUIDAD|Delgadez y sutileza
TENIDO|De color cambiado con tinte
TEOLOGIA|Estudio de lo divino
TEORIZAR|Formular teorías
TERAPEUTA|Profesional que trata dolencias
TERCERMUNDISTA|Propio de los países pobres
TERGIVERSACION|Alteración del sentido de lo dicho
TERMAL|Relativo a las aguas calientes
TERMINACION|Final de una palabra
TERMINANTE|Claro y sin apelación
TERMINOLOGIA|Conjunto de términos de una ciencia
TERMOSTATO|Regula la temperatura
TERNURA|Afecto suave y delicado
TERQUEDAD|Obstinación en el error
TERRACOTA|Barro cocido de las esculturas
TERRAQUEO|Relativo a la Tierra
TERRATENIENTE|Dueño de grandes tierras
TERRENAL|Propio de este mundo
TERRIBLEMENTE|De modo espantoso
TERRIFICO|Que causa terror
TERRUNO|Tierra natal
TERSURA|Lisura y brillo de la piel
TERTULIANO|Contertulio de un debate
TESITURA|Situación o registro de la voz
TESORERIA|Oficina que maneja los fondos
TESTAFERRO|Quien figura en lugar de otro
TESTAMENTARIA|Conjunto de bienes del difunto
TESTERO|Frente o cabecera de algo
TESTIMONIAR|Dar testimonio
TETERO|Biberón, en América
TETRICO|Sombrío y lúgubre
TEXTIL|Relativo a los tejidos
TEXTUAL|Al pie de la letra
TEZNAR|Oscurecer la piel el sol
TIBIEZA|Temperatura templada o falta de entusiasmo
TIBURONERO|Pescador de escualos
TIENTO|Tacto y prudencia al obrar
TIESTO|Maceta de barro
TIFON|Ciclón tropical del Pacífico
TIGRESA|Hembra del felino rayado
TILDE|Rayita que marca el acento
TIMBAL|Tambor de caja semiesférica
TIMBRAR|Poner un sello a un documento
TIMIDEZ|Falta de desenvoltura
TIMONEL|Quien lleva el timón
TIMORATO|Temeroso y mojigato
TINGLADO|Cobertizo o trama enredada
TINIEBLAS|Oscuridad profunda
TINTERO|Recipiente de la tinta
TINTINEO|Sonido de cristales al chocar
TIPIFICAR|Ajustar a un tipo
TIPOGRAFIA|Arte de la impresión
TIQUISMIQUIS|Reparos ridículos
TIRABUZON|Rizo largo del pelo
TIRADOR|Quien dispara con puntería
TIRALINEAS|Instrumento de dibujo técnico
TIRANIZAR|Gobernar con crueldad
TIRITONA|Temblor de frío o fiebre
TIROTEO|Intercambio de disparos
TITANICO|De esfuerzo enorme
TITERITERO|Quien maneja los muñecos
TITILEO|Centelleo de las estrellas
TITUBEO|Vacilación al decidir
TITULACION|Conjunto de los títulos
TIZNE|Hollín que ennegrece
TIZON|Palo a medio quemar
TOALLERO|Barra donde se cuelga la toalla
TOBOGANAR|Deslizarse por la rampa
TOCADO|Adorno de la cabeza
TOCAYO|Del mismo nombre que otro
TOCOLOGIA|Rama médica de los partos
TOLDILLA|Cubierta pequeña de popa
TOLERANCIA|Respeto a las ideas ajenas
TOLVANERA|Remolino de polvo
TOMADURA|Burla que se hace a alguien
TOMILLAR|Terreno de tomillos
TONALIDAD|Matiz de un color o de la música
TONELAJE|Capacidad de carga de un barco
TONELERO|Fabricante de barricas
TONIFICANTE|Que da vigor
TONTERIA|Dicho sin fundamento
TOPETAZO|Golpe dado con la cabeza
TOPICO|Lugar común muy repetido
TOPOGRAFO|Quien mide el terreno
TOQUILLA|Prenda de punto de los hombros
TORACICO|Relativo al pecho
TORBELLINO|Remolino de viento
TORCEDURA|Lesión por girar mal la articulación
TORDILLO|Caballo de pelo mezclado
TOREO|Arte de lidiar reses bravas
TORMENTOSO|Propio de la tempestad
TORNADIZO|Que cambia con facilidad de opinión
TORNASOLADO|Que cambia de color según la luz
TORNEAR|Labrar en el torno
TORNILLERIA|Conjunto de tornillos
TORPEDEAR|Atacar con torpedos o estropear un plan
TORPEZA|Falta de habilidad
TORRECILLA|Torre pequeña
TORRENCIAL|Lluvia muy fuerte
TORREZNO|Trozo de tocino frito
TORRIDO|De calor abrasador
TORSION|Giro forzado de un cuerpo
TORTAZO|Bofetada fuerte
TORTICERO|Injusto y torcido
TORTUOSO|Lleno de rodeos y curvas
TORVO|De mirada fiera
TOSIGOSO|Que tose mucho
TOSQUEDAD|Falta de pulimento
TOSTADOR|Aparato que dora el pan
TOTALITARIO|Régimen que todo lo controla
TOXICIDAD|Grado de veneno de algo
TOXICOLOGIA|Estudio de los venenos
TOZUDEZ|Terquedad insistente
TRABAJADOR|Persona que ejerce un empleo
TRABAZON|Unión firme de las partes
TRABUCO|Arma antigua de boca ancha
TRACCION|Fuerza que arrastra
TRADUCTOR|Quien vierte a otra lengua
TRAFAGO|Ajetreo y trajín
TRAFICAR|Comerciar ilegalmente
TRAGALUZ|Ventana en el techo
TRAGAPERRAS|Máquina de juego con monedas
TRAGICOMEDIA|Obra entre lo trágico y lo cómico
TRAGON|Que come demasiado
TRAICIONERO|Que obra con alevosía
TRAJEADO|Vestido con traje
TRAJINAR|Andar de un lado para otro
TRAMITACION|Curso de un expediente
TRAMOYA|Maquinaria del escenario
TRAMPANTOJO|Ilusión que engaña a la vista
TRAMPILLA|Puerta pequeña en el suelo
TRANQUILIZANTE|Medicamento que calma
TRANSACCION|Trato comercial
TRANSATLANTICO|Barco de pasajeros de gran porte
TRANSBORDO|Cambio de un medio de transporte a otro
TRANSCURSO|Paso del tiempo
TRANSEUNTE|Quien pasa por la calle
TRANSFIGURAR|Cambiar de aspecto
TRANSFORMAR|Cambiar de forma
TRANSFUSION|Paso de sangre de uno a otro
TRANSGREDIR|Quebrantar una norma
TRANSICION|Paso de un estado a otro
TRANSIGIR|Ceder para llegar a un acuerdo
TRANSITORIO|Que dura poco tiempo
TRANSLUCIDO|Que deja pasar algo de luz
TRANSPIRAR|Sudar por los poros
TRANSPORTISTA|Quien lleva mercancías
TRANSVASE|Paso de agua de un cauce a otro
TRANVIARIO|Empleado del tranvía
TRAPACERIA|Engaño y trampa
TRAPECISTA|Acróbata que vuela en el circo
TRAPERIA|Tienda de ropa vieja
TRAQUETEO|Movimiento ruidoso y repetido
TRASATLANTICO|Que cruza el océano
TRASCENDENCIA|Gran importancia de algo
TRASEGAR|Pasar el vino de un recipiente a otro
TRASERA|Parte de atrás de un vehículo
TRASGO|Duende travieso
TRASHUMANCIA|Traslado estacional del ganado
TRASIEGO|Movimiento continuo de un lado a otro
TRASLUCIR|Dejar entrever
TRASNOCHADO|Pasado de moda
TRASPAPELAR|Perder un papel entre otros
TRASPASO|Cesión de un negocio
TRASPIE|Tropiezo al andar
TRASPLANTAR|Cambiar de sitio una planta
TRASTABILLAR|Dar traspiés
TRASTADA|Mala pasada
TRASTEAR|Revolver los trastos
TRASTIENDA|Cuarto detrás de la tienda
TRASTORNO|Alteración del orden o la salud
TRASTRUEQUE|Cambio del orden de las cosas
TRATABLE|De trato fácil
TRATANTE|Comerciante de ganado
TRAUMATICO|Que deja una huella dolorosa
TRAVESANO|Pieza horizontal que atraviesa
TRAVESTIR|Vestir con ropa del otro sexo
TRAVIESA|Madero sobre el que van los raíles
TRAYECTORIA|Camino recorrido
TRAZADO|Recorrido de una vía
TREGUA|Cese temporal del combate
TREINTENA|Conjunto de treinta
TREMEDAL|Terreno pantanoso y movedizo
TREMENDO|Enorme y espantoso
TREMOLAR|Ondear la bandera
TRENZADO|Peinado de mechones cruzados
TREPADOR|Que sube agarrándose
TREPANAR|Perforar el cráneo
TRIBULACION|Pena y adversidad
TRIBUNA|Plataforma desde la que se habla
TRIBUTACION|Pago de impuestos
TRICORNIO|Sombrero de tres picos
TRIDENTE|Arma de tres puntas
TRIENIO|Periodo de tres años
TRIGESIMO|Que ocupa el lugar treinta
TRIGUENO|De color entre moreno y rubio
TRILLADORA|Máquina que separa el grano
TRILOGIA|Conjunto de tres obras
TRIMESTRE|Periodo de tres meses
TRINCAR|Sujetar fuertemente
TRINCHANTE|Cuchillo grande de cortar carne
TRINIDAD|Misterio de las tres personas divinas
TRIPARTITO|Dividido en tres partes
TRIPTICO|Obra de tres tablas
TRIPULANTE|Miembro de la dotación
TRIQUINOSIS|Enfermedad por carne de cerdo cruda
TRISTON|Algo melancólico
TRITURADORA|Máquina que desmenuza
TRIUNFAL|Propio de la victoria
TRIUNVIRATO|Gobierno de tres personas
TRIVIALIDAD|Cosa sin importancia
TROCEADO|Partido en trozos
TROCHA|Vereda estrecha del monte
TROGLODITA|Que vive en cuevas
TROMBOSIS|Coágulo que tapona un vaso
TROMPADA|Golpe dado con el puño
TROMPICON|Tropiezo violento
TRONERA|Abertura para disparar
TROPELIA|Atropello o abuso
TROPICAL|Propio de las zonas cálidas
TROPIEZO|Obstáculo que hace caer
TROQUEL|Molde que recorta piezas
TROTAMUNDOS|Que viaja por todas partes
TROVADOR|Poeta y músico medieval
TROZAR|Partir en trozos
TRUEQUE|Cambio de una cosa por otra
TRUHAN|Pícaro sinvergüenza
TRUNCAMIENTO|Corte que deja incompleto
TUBERCULOSIS|Enfermedad pulmonar contagiosa
TUFARADA|Golpe de olor fuerte
TUGURIO|Local pequeño y sórdido
TULLIDO|Impedido de un miembro
TUMEFACCION|Hinchazón de una parte del cuerpo
TUMULTUOSO|Con gran alboroto
TUNDIR|Golpear con dureza
TUNELADORA|Máquina que excava túneles
TUPIDO|Muy espeso y apretado
TURBACION|Confusión del ánimo
TURBERA|Terreno de turba
TURBINAR|Mover con turbina
TURBULENCIA|Agitación del aire o del agua
TURGENTE|Abultado y firme
TURISTICO|Relativo a los viajes de placer
TURNARSE|Alternar por turnos
TUTELAR|Que protege y ampara
TUTORIA|Cargo de quien orienta al alumno
UBICUIDAD|Presencia en todas partes
UFANARSE|Presumir con satisfacción
ULCERAR|Producir llagas
ULTERIOR|Que viene después
ULTIMADAMENTE|En los últimos tiempos
ULTIMATUM|Última condición que se impone
ULTRAJAR|Ofender gravemente
ULTRAMAR|Tierras al otro lado del mar
ULTRAMARINOS|Tienda de comestibles
ULTRANZA|A todo trance y sin ceder
ULTRASONIDO|Sonido que el oído no capta
ULTRATUMBA|Más allá de la muerte
UMBRIO|Lugar donde da poco el sol
UNANIMIDAD|Acuerdo de todos
UNCION|Aplicación del óleo sagrado
UNDECIMO|Que ocupa el lugar once
UNGUENTO|Preparado graso que se aplica
UNICAMENTE|Solamente, nada más
UNIDIRECCIONAL|De un solo sentido
UNIFICACION|Reducción a la unidad
UNIFORMIDAD|Igualdad de todas las partes
UNILATERAL|De una sola parte
UNIONISTA|Partidario de la unión
UNISEXO|Válido para ambos sexos
UNITARIO|Que forma una unidad
UNIVERSAL|Que abarca a todos
UNIVOCO|De un solo significado
UNTUOSO|Graso y pegajoso
URBANIDAD|Buenos modales
URBANISMO|Planificación de la ciudad
URBANIZACION|Conjunto residencial
URDIMBRE|Hilos que cruza la trama
URGENTE|Que no admite espera
URINARIO|Lugar público para orinar
USANZA|Costumbre o moda
USUFRUCTO|Derecho a usar y disfrutar un bien
USURARIO|Con interés abusivo
USURPACION|Apropiación de lo ajeno
UTENSILIO|Objeto de uso manual
UTERINO|Relativo a la matriz
UTILERO|Encargado del material de un equipo
UTILIDAD|Provecho que se saca
UTILLAJE|Conjunto de herramientas
UVAL|Relativo al fruto de la vid
VACACIONISTA|Quien está de vacaciones
VACANTE|Puesto libre en una empresa
