# Últimos plurales y formas de uso frecuente en la rejilla
ABANDONOS|Dejaciones de un deber
PUSE|Coloqué en su sitio, yo
QUEDAN|Permanecen en el sitio
SABIA|Tenía conocimiento
SUPE|Tuve conocimiento, yo
TOCAN|Ponen la mano encima, ellos
TOMAN|Cogen algo, ellos
TRABAJAN|Ejercen su oficio, ellos
VENDEN|Dan a cambio de dinero
VIVIO|Tuvo vida
VOLVIO|Regresó al lugar
