# Vocabulario general: palabras con N, Ñ y O
NACIMIENTO|Venida al mundo
OPTICA|Tienda de gafas
OPTIMISTA|Que todo lo ve bien
OPULENCIA|Gran riqueza
ORAL|Que se hace de palabra
ORAR|Elevar la plegaria
ORATORIA|Arte de hablar en público
ORDENAR|Poner en su sitio
ORDENAR|Sacar la leche a la vaca
ORFANATO|Casa de los huérfanos
ORFEBRE|Trabaja el oro y la plata
ORGANIZAR|Poner en orden
ORGULLOSO|Que presume de algo
ORIENTAL|De los países de Asia
ORIENTAR|Indicar la dirección
ORIGINAL|Que no es copia
ORIGINAR|Dar principio a algo
ORINAR|Hacer aguas menores
ORLA|Adorno del borde
ORNAMENTO|Adorno de una obra
ORTOGRAFIA|Escritura correcta
ORUJO|Aguardiente del hollejo
OSADIA|Atrevimiento temerario
OSAR|Atreverse a hacer algo
OSCILAR|Moverse como el péndulo
OSCURECER|Quitar la claridad
OSTENTAR|Mostrar con vanidad
OTORGAR|Conceder una gracia
OVALADO|Con forma de huevo
OVEJERO|Perro que guarda el rebaño
OXIDAR|Cubrir de herrumbre
OZONO|Capa que filtra el sol
NAFTA|Derivado ligero del petróleo
NARANJAL|Plantío de cítricos
NARANJO|Árbol de fruta anaranjada
NARCOTICO|Sustancia que adormece
NASAL|Relativo a la nariz
NATILLAS|Postre cremoso de huevo
NAVAJAZO|Corte hecho con navaja
NAVEGANTE|Quien surca los mares
NAVIDENO|Propio de las fiestas de diciembre
NEBULOSO|Confuso y poco claro
NEGATIVA|Respuesta que rechaza
NEGOCIANTE|Persona de negocios
NEUMONIA|Infección de los pulmones
NEURONA|Célula del cerebro
NEUTRO|Que no es ni lo uno ni lo otro
NEVADA|Caída abundante de nieve
NIEVA|Cae nieve del cielo
NIMIO|De muy poca importancia
NIVELACION|Igualación de alturas
NOBILIARIO|Relativo a la nobleza
NOGAL|Árbol de la nuez
NOMENCLATURA|Conjunto de nombres técnicos
NONATO|Que no ha nacido
NORDESTE|Punto entre el norte y el este
NOROESTE|Punto entre el norte y el oeste
NORUEGA|País de los fiordos
NOTARIA|Despacho donde se firma la escritura
NOVATADA|Broma pesada al recién llegado
NOVECIENTOS|Nueve centenas
NOVENARIO|Rezo de nueve días
NUBARRON|Nube grande y oscura
NUBLAR|Cubrirse el cielo
NUDOSO|Lleno de nudos
NUEVE|Tres veces tres
NUEVO|Sin estrenar
NULIDAD|Falta de validez
NUTRICION|Alimentación del cuerpo
NUTRITIVO|Que alimenta mucho
OBERTURA|Pieza que abre la ópera
OBISPADO|Territorio del obispo
OBSTINARSE|Empeñarse en algo
OCTAVA|Intervalo musical de ocho notas
OCTOGENARIO|Que tiene ochenta años
OCULTO|Escondido a la vista
ODORIFERO|Que despide buen olor
OFENSIVA|Ataque del ejército
OFICIAR|Celebrar la misa
OFICIOSO|Que se mete donde no le llaman
OLEODUCTO|Tubería del petróleo
OLIVAR|Campo de olivos
OMITIR|Dejar de decir algo
ONDULACION|Movimiento en ondas
OPERARIO|Obrero de la fábrica
OPINABLE|Que admite pareceres distintos
OPRESION|Tiranía sobre un pueblo
OPTIMO|Lo mejor de todo
ORACULO|Respuesta de los dioses
ORCA|Ballena asesina
ORDENANZA|Reglamento municipal
OREAR|Airear la ropa
ORFANDAD|Situación del huérfano
ORFEON|Coro de muchas voces
ORGANILLO|Instrumento de manivela
ORGANIZADOR|Quien monta el acto
ORIFICE|Artífice del oro
ORIGINARIO|Procedente de un lugar
ORLAR|Adornar con una cenefa
ORNITOLOGO|Estudia las aves
ORTOPEDIA|Corrección de las deformidades
OSAMENTA|Conjunto de los huesos
OSEO|De hueso
OSTENTOSO|Llamativo y lujoso
OTEAR|Mirar desde lo alto
OTORRINO|Médico de oídos y garganta
OVALO|Figura alargada y redondeada
OVARIO|Glándula femenina
OVEJUNO|Relativo al ganado lanar
OXIDO|Compuesto del oxígeno
