# Vocabulario general: palabras que empiezan por A
ABAD|Superior de un monasterio
AGUJA|Lleva hilo en su ojo
AGUJERO|Hueco redondo en la tela
AHOGAR|Quitar la respiración
AHORA|En este mismo momento
AHORRO|Dinero guardado
AIRE|Mezcla de gases que respiramos
AISLAR|Dejar a solas y separado
AJEDREZ|Juego de reyes y peones
AJENO|De otra persona
AJUAR|Ropa que aporta la novia
AJUSTAR|Encajar a la medida
ALACENA|Armario empotrado de cocina
ALAMBRE|Hilo de metal
ALAMEDA|Paseo con árboles
ALAMO|Árbol de ribera de hoja temblona
ALARDE|Ostentación de algo
ALARGAR|Hacer más largo
ALARMA|Aviso sonoro de peligro
ALBA|Primera luz del día
ALBACEA|Ejecuta un testamento
ALBAHACA|Hierba aromática del pesto
ALBANIL|Levanta paredes de ladrillo
ALBUM|Libro para pegar fotos
ALCACHOFA|Hortaliza de hojas apretadas
ALCALDE|Manda en el ayuntamiento
ALCANCE|Distancia a la que se llega
ALCE|Ciervo grande de Escandinavia
ALCOBA|Habitación de dormir
ALCOHOL|Espíritu de vino
ALDEA|Pueblo muy pequeño
ALEGRE|De buen humor
ALEJAR|Poner más lejos
ALEMANIA|País de Berlín y Múnich
ALERGIA|Reacción al polen
ALETA|Impulsa al pez en el agua
ALFA|Primera letra griega
ALFALFA|Forraje para el ganado
ALFILER|Sujeta la tela con su punta
ALFOMBRA|Cubre el suelo del salón
ALGA|Planta marina sin raíz
ALGEBRA|Matemática de las incógnitas
ALGO|Una cosa indeterminada
ALGODON|Fibra blanca y suave
ALGUIEN|Una persona cualquiera
ALIADO|Socio en la guerra
ALIENTO|Aire que sale de los pulmones
ALIMENTO|Lo que se come
ALIVIO|Descanso de un dolor
ALMA|Parte espiritual del ser
ALMACEN|Nave donde se guarda el género
ALMEJA|Molusco de dos conchas
ALMENA|Diente de la muralla
ALMENDRA|Fruto seco del turrón
ALMIBAR|Jarabe dulce de fruta
ALMOHADA|Sostiene la cabeza al dormir
ALPACA|Camélido lanudo de los Andes
ALPISTE|Grano para los pájaros
ALQUILER|Renta mensual del piso
ALREDEDOR|En torno a algo
ALTAR|Mesa de los sacrificios
ALTAVOZ|Emite el sonido del equipo
ALTURA|Distancia hasta el suelo
ALUBIA|Judía blanca de guiso
ALUD|Avalancha de nieve
ALUMBRAR|Dar luz a un lugar
ALUMNO|Asiste a clase
ALUSION|Referencia indirecta
AMABLE|De trato agradable
AMANECER|Salida del sol
AMANTE|Pareja secreta
AMAPOLA|Flor roja de los trigales
AMARGO|Sabor de la endrina
AMARILLO|Color del limón
AMARRA|Cuerda que sujeta el barco
AMASAR|Trabajar la masa del pan
AMAZONA|Mujer guerrera de la leyenda
AMBAR|Resina fósil anaranjada
AMBOS|Los dos a la vez
AMENAZA|Aviso de daño
AMERICA|Continente de Colón
AMIGO|Compañero de confianza
AMISTAD|Afecto entre iguales
AMOR|Sentimiento que mueve el mundo
AMPARO|Protección que se da
AMPLIO|De mucha extensión
AMPOLLA|Burbuja de piel por rozadura
ANALISIS|Estudio detallado de algo
ANATOMIA|Estudio del cuerpo humano
ANCA|Cadera del caballo
ANCHO|De gran anchura
ANCLA|Sujeta el barco al fondo
ANDAR|Caminar a pie
ANDEN|Espera ahí el viajero del tren
ANDORRA|Principado de los Pirineos
ANEMIA|Falta de glóbulos rojos
ANFIBIO|Vive en tierra y en el agua
ANGEL|Mensajero celestial con alas
ANGULO|Abertura entre dos rectas
ANGULA|Cría de la anguila
ANGUSTIA|Congoja que oprime el pecho
ANILLO|Joya para el dedo
ANIMAL|Ser vivo que se mueve
ANIMO|Valor para seguir
ANIS|Licor dulce y transparente
ANORAK|Chaqueta de montaña con capucha
ANSIA|Deseo muy fuerte
ANTENA|Capta la señal de televisión
ANTES|En un momento anterior
ANTIGUO|De hace mucho tiempo
ANTORCHA|Llama que se lleva en la mano
ANUNCIO|Publicidad en televisión
ANZUELO|Gancho para pescar
ANADIR|Poner de más
ANEJO|Del año anterior
ANIL|Colorante azul oscuro
ANO|Periodo de doce meses
ANORAR|Echar mucho de menos
APAGAR|Quitar la luz
APARATO|Máquina o utensilio
APARCAR|Dejar el coche estacionado
APELLIDO|Nombre de familia
APENAS|Casi nada
APERITIVO|Vermú antes de comer
APIO|Hortaliza de tallos verdes
APLAUSO|Palmas de aprobación
APODO|Mote con que llaman a alguien
APOSTOL|Cada uno de los doce de Cristo
APOYO|Ayuda que se presta
APRENDER|Adquirir conocimientos
APRETAR|Hacer fuerza al cerrar
APUESTA|Dinero jugado a un resultado
APUNTE|Nota tomada en clase
AQUEL|Demostrativo de lejanía
AQUI|En este lugar
ARABE|Idioma del Corán
ARADO|Abre surcos en la tierra
ARANA|Tejedora de ocho patas
ARANAZO|Marca de las uñas del gato
ARBITRO|Pita las faltas del partido
ARBOL|Planta de tronco leñoso
ARBUSTO|Planta baja y ramificada
ARCA|Cofre grande con tapa
ARCADA|Serie de arcos seguidos
ARCILLA|Barro para modelar
ARCO|Dispara flechas
ARDILLA|Roedor de cola peluda
ARDOR|Calor intenso o pasión
ARENA|Suelo fino de la playa
ARGENTINA|País del tango y la pampa
ARIDO|Seco y sin vegetación
ARISTA|Borde donde se unen dos caras
ARMA|Instrumento de ataque
ARMARIO|Mueble para la ropa
ARMONIA|Buena combinación de sonidos
AROMA|Olor agradable
ARPA|Instrumento de cuerdas verticales
ARQUERO|Tira con arco
ARQUITECTO|Proyecta edificios
ARRANQUE|Puesta en marcha del motor
ARRECIFE|Banco de coral en el mar
ARREGLO|Compostura de una avería
ARRIBA|En la parte alta
ARROGANTE|Soberbio y altivo
ARROYO|Río muy pequeño
ARROZ|Grano blanco de la paella
ARRUGA|Pliegue de la piel
ARSENAL|Depósito de armas
ARTE|Creación de belleza
ARTERIA|Vaso que sale del corazón
ARTESANO|Trabaja con las manos
ARTICULO|Escrito de un periódico
ARTISTA|Crea obras de arte
ASADO|Carne hecha al fuego
ASALTO|Ataque por sorpresa
ASAMBLEA|Reunión de muchos socios
ASCENSOR|Sube y baja por el hueco
ASCO|Repugnancia ante algo
ASEO|Cuarto de baño pequeño
ASESINO|Autor de un crimen
ASFALTO|Capa negra de la carretera
ASIENTO|Sitio donde sentarse
ASILO|Refugio para desamparados
ASIMISMO|También, del mismo modo
ASNO|Burro de carga
ASOMBRO|Sorpresa muy grande
ASPA|Brazo del molino de viento
ASPECTO|Apariencia exterior
ASPIRINA|Pastilla contra el dolor
ASTILLA|Fragmento fino de madera
ASTRO|Cuerpo celeste luminoso
ASTUCIA|Maña para engañar
ASUNTO|Tema del que se trata
ASUSTAR|Dar un susto
ATAJO|Camino más corto
ATAQUE|Acometida contra el rival
ATASCO|Retención de coches
ATAUD|Caja de los difuntos
ATENAS|Capital de Grecia
ATENTO|Que escucha con interés
ATERRIZAR|Tomar tierra el avión
ATICO|Piso más alto del edificio
ATLAS|Libro de mapas
ATLETA|Deportista de pista
ATMOSFERA|Capa de aire de la Tierra
ATOMO|Partícula mínima de un elemento
ATRACO|Robo con violencia
ATRAS|En la parte de detrás
ATREVIDO|Que no teme el riesgo
ATUN|Pescado azul de lata
AUDAZ|Valiente y decidido
AUDIENCIA|Público que sigue un programa
AUGE|Momento de mayor esplendor
AULA|Sala donde se dan clases
AUMENTO|Subida de tamaño
AUNQUE|Conjunción de concesión
AURORA|Luz del amanecer
AUSENCIA|Falta de alguien
AUSTRIA|País de Viena y Salzburgo
AUTOBUS|Vehículo de muchas plazas
AUTOR|Creador de una obra
AVANCE|Progreso hacia delante
AVARO|Tacaño que todo lo guarda
AVELLANA|Fruto seco redondo y duro
AVENA|Cereal de los copos
AVENIDA|Calle ancha con árboles
AVENTURA|Suceso lleno de emoción
AVERIA|Fallo de la máquina
AVESTRUZ|Ave que corre y no vuela
AVION|Aparato que vuela con alas fijas
AVISO|Advertencia previa
AVISPA|Insecto amarillo que pica
AXILA|Hueco bajo el hombro
AYER|El día anterior a hoy
AYUDA|Auxilio que se presta
AYUNO|Abstinencia de comida
AYUNTAMIENTO|Casa consistorial
AZAFATA|Atiende en el avión
AZAFRAN|Especia roja de la paella
AZAHAR|Flor blanca del naranjo
AZAR|Casualidad, suerte
AZOTEA|Terraza plana del tejado
AZUCAR|Endulza el café
AZUCENA|Flor blanca y olorosa
AZUFRE|Elemento amarillo y maloliente
AZUL|Color del cielo despejado
ABANDONO|Dejación de un deber
ABASTO|Provisión de víveres
ABDOMEN|Vientre del cuerpo
ABEJAR|Colmenar de abejas
ABERRANTE|Que se aparta de lo normal
ABOLIR|Derogar una ley
ABOMBADO|Curvado hacia fuera
ABONADO|Cliente con suscripción
ABORTO|Interrupción del embarazo
ABRASAR|Quemar con fuego
ABRAZAR|Rodear con los brazos
ABREVIAR|Hacer más corto
ABRIDOR|Quita las chapas
ABRUPTO|De pendiente muy fuerte
ABSOLUTO|Total, sin límite
ABSORBER|Chupar un líquido
ABSTINENCIA|Privación voluntaria
ABUCHEO|Protesta ruidosa del público
ACAMPAR|Plantar la tienda de campaña
ACARICIAR|Rozar con ternura
ACARREAR|Transportar a cuestas
ACATAR|Obedecer la orden
ACAUDALADO|Que tiene mucho dinero
ACCIDENTE|Percance con daños
ACECHO|Vigilancia escondida
ACEITERA|Vasija del aliño
ACELERAR|Ir más deprisa
ACERCAR|Poner más cerca
ACERTIJO|Adivinanza para pensar
ACHAQUE|Molestia propia de la edad
ACICATE|Estímulo que anima
ACIDEZ|Ardor de estómago
ACIERTO|Solución correcta
ACLAMAR|Vitorear con entusiasmo
ACOBARDAR|Meter miedo
ACOGIDA|Recibimiento que se da
ACOLCHAR|Rellenar de guata
ACOMODADOR|Enseña el asiento en el cine
ACOMPANAR|Ir junto a otro
ACONSEJAR|Dar una recomendación
ACOPLAR|Unir dos piezas
ACORAZADO|Buque de guerra blindado
ACORTAR|Reducir la longitud
ACOSTUMBRAR|Coger la costumbre
ACRE|Áspero al gusto
ACREEDOR|A quien se debe dinero
ACROBACIA|Ejercicio de equilibrio arriesgado
ACTUACION|Intervención en escena
ACTUAL|De este mismo momento
ACUARELA|Pintura al agua
ACUATICO|Que vive en el agua
ACUCHILLAR|Herir con arma blanca
ACUMULAR|Ir juntando mucho
ACUNAR|Mecer al bebé
ACUOSO|Con mucha agua
ADAPTAR|Ajustar a un nuevo uso
ADELANTO|Dinero pagado por anticipado
ADELGAZAR|Perder kilos
ADEUDAR|Deber dinero
ADHESIVO|Pegatina que se adhiere
ADICTO|Enganchado a algo
ADIESTRAR|Enseñar a un perro
ADINERADO|De mucha fortuna
ADIVINANZA|Juego de acertar
ADMIRADOR|Fan de un artista
ADMITIR|Dejar entrar
ADOBAR|Aliñar la carne para conservarla
ADOLESCENTE|Joven que ya no es niño
ADOPTAR|Tomar como hijo propio
ADOQUIN|Piedra del pavimento antiguo
ADORMECER|Dar sueño
ADQUIRIR|Comprar u obtener
ADREDE|A propósito
ADUCIR|Alegar razones
ADUENARSE|Hacerse dueño de algo
ADULAR|Halagar con exceso
ADVERSARIO|Contrincante en la lucha
ADVERTIR|Avisar de un riesgo
AFABLE|Cordial en el trato
AFECTAR|Influir en algo
AFEITE|Cosmético del rostro
AFERRAR|Agarrar con fuerza
AFIANZAR|Dar firmeza
AFICIONADO|No profesional
AFILIADO|Miembro de un partido
AFLIGIR|Causar tristeza
AFLOJAR|Soltar la tensión
AFLUENTE|Río que desemboca en otro
AFORO|Capacidad de un estadio
AFORTUNADO|Con buena suerte
AFRENTA|Ofensa grave al honor
AFRONTAR|Hacer frente a un problema
AGACHAR|Bajar la cabeza
AGARRAR|Coger con la mano
AGASAJO|Obsequio con que se atiende
AGENCIA|Oficina de viajes
AGIGANTAR|Hacer enorme
AGONIA|Últimos momentos de vida
AGOTAR|Dejar sin fuerzas
AGRADAR|Resultar grato
AGRANDAR|Hacer más grande
AGRAVIO|Injuria que ofende
AGREDIR|Atacar físicamente
AGREGAR|Sumar a lo que hay
AGRESION|Ataque violento
AGRICOLA|Relativo al campo
AGRIETAR|Abrir grietas
AGRUPAR|Juntar en un grupo
AGUACERO|Chaparrón fuerte y corto
AGUARDAR|Esperar con paciencia
AGUDEZA|Ingenio muy vivo
AGUERRIDO|Curtido en la batalla
AGUIJON|Arma con veneno de la abeja
AGUINALDO|Regalo de Navidad
AHIJADO|Apadrinado en el bautizo
AHINCO|Empeño y esfuerzo
AHUMADO|Curado con humo
AHUYENTAR|Espantar lejos
AIRADO|Muy enfadado
AISLANTE|Material que no conduce
AJETREO|Trajín continuo
AJUSTICIAR|Ejecutar al reo
ALABANZA|Elogio que se dedica
ALABARDA|Lanza con hacha de la guardia
ALACRAN|Escorpión de aguijón curvo
ALARGADO|Más largo que ancho
ALARIDO|Grito de dolor
ALBARICOQUE|Fruta naranja de hueso
ALBATROS|Ave marina de gran envergadura
ALBERGUE|Alojamiento barato de viajeros
ALBOROTO|Jaleo y ruido
ALCANFOR|Sustancia de olor penetrante
ALCANTARILLA|Sumidero de la calle
ALCANZAR|Llegar hasta algo
ALCAZAR|Fortaleza real
ALDABA|Llamador de la puerta
ALEGAR|Exponer razones
ALEGORIA|Figura que representa una idea
ALEGRIA|Sentimiento de gozo
ALEJANDRIA|Ciudad egipcia del faro
ALENTAR|Dar ánimos
ALFABETO|Serie ordenada de letras
ALFEREZ|Grado militar de menor rango
ALFOMBRILLA|Tapete del ratón
ALGARROBA|Fruto oscuro y dulce
ALGUACIL|Auxiliar del juzgado
ALIANZA|Pacto entre países
ALICATE|Herramienta de apretar
ALIGERAR|Quitar peso
ALINEAR|Poner en línea recta
ALINO|Aceite y vinagre de la ensalada
ALISTAR|Apuntarse al ejército
ALIVIAR|Quitar el dolor
ALMANAQUE|Calendario del año
ALMIRANTE|Jefe de la armada
ALOJAR|Dar hospedaje
ALPARGATA|Calzado de esparto
ALTERAR|Cambiar el orden
ALTIVEZ|Orgullo desdeñoso
ALTOZANO|Cerro de poca altura
ALUCINAR|Ver lo que no existe
ALUMINIO|Metal ligero del papel de cocina
ALUNIZAR|Posarse en la Luna
ALVEOLO|Saco de aire del pulmón
AMAINAR|Perder fuerza el viento
AMANSAR|Domesticar a la fiera
AMARRAR|Atar el barco al muelle
AMBICION|Deseo de triunfar
AMBIENTE|Entorno que rodea
AMBULANCIA|Vehículo de urgencias
AMENIDAD|Cualidad de entretenido
AMERIZAR|Posarse en el agua
AMIGDALA|Glándula de la garganta
AMINORAR|Reducir la marcha
AMONESTAR|Reprender al infractor
AMONTONAR|Poner unos sobre otros
AMORTIGUAR|Suavizar un golpe
AMPARAR|Dar protección
AMPLIAR|Hacer más grande la foto
AMPUTAR|Cortar un miembro
AMUEBLAR|Poner muebles
AMULETO|Objeto de buena suerte
ANALFABETO|Que no sabe leer
ANALOGIA|Semejanza entre dos cosas
ANARQUIA|Ausencia de gobierno
ANCIANO|Persona de mucha edad
ANDAMIO|Estructura de la obra
ANDRAJO|Trapo viejo y roto
ANECDOTA|Historieta curiosa
ANESTESIA|Duerme al paciente
ANFITEATRO|Graderío romano
ANFITRION|Recibe a los invitados
ANGOSTO|Estrecho y apretado
ANGULOSO|Lleno de esquinas
ANHELO|Deseo muy hondo
ANIDAR|Hacer el nido
ANILLA|Aro de la gimnasia
ANIMAR|Dar alegría
ANIQUILAR|Destruir por completo
ANIVERSARIO|Fecha que se repite cada año
ANOCHECER|Caída de la tarde
ANOMALIA|Cosa fuera de lo normal
ANONIMO|Escrito sin firma
ANORMAL|Fuera de lo corriente
ANOTAR|Escribir una nota
ANSIEDAD|Inquietud que angustia
ANTAGONISTA|Personaje que se opone
ANTEAYER|Dos días atrás
ANTEOJO|Catalejo de marino
ANTICIPO|Pago por adelantado
ANTIDOTO|Contrarresta el veneno
ANTIGUEDAD|Objeto viejo de valor
ANTIPATIA|Rechazo hacia alguien
ANTOJO|Capricho pasajero
ANTOLOGIA|Selección de textos
ANUAL|Que ocurre cada año
ANULAR|Dedo del anillo
ANUNCIAR|Hacer público
APACIBLE|Tranquilo y sosegado
APADRINAR|Hacer de padrino
APAGON|Corte de la luz
APALEAR|Dar golpes con un palo
APARADOR|Mueble del comedor
APARENTE|Que parece y no es
APARICION|Presencia inesperada
APARTADO|Sección de un texto
APASIONADO|Lleno de pasión
APEARSE|Bajar del vehículo
APEDREAR|Tirar piedras
APEGO|Cariño a algo propio
APELAR|Recurrir la sentencia
APENAR|Causar pena
APENDICE|Añadido al final del libro
APERTURA|Acto de inaugurar
APESTAR|Oler muy mal
APETITO|Ganas de comer
APIADAR|Mover a compasión
APILAR|Poner en pila
APISONADORA|Máquina que aplana el asfalto
APLACAR|Calmar la furia
APLASTAR|Dejar plano de un golpe
APLAZAR|Dejar para más tarde
APLICAR|Poner sobre algo
APODERADO|Representante legal
APOGEO|Punto más alto
APORTAR|Contribuir con algo
APOSENTO|Habitación de la casa antigua
APOSTAR|Jugarse dinero
APRECIAR|Tener en estima
APREMIO|Prisa que urge
APRENDIZ|Novato en el oficio
APRESAR|Capturar al enemigo
APRETON|Estrechón de manos
APROBAR|Pasar el examen
APROVECHAR|Sacar partido
APROXIMAR|Arrimar a algo
APTITUD|Capacidad para algo
APUNTAR|Dirigir el arma
APURO|Situación difícil
ARADOR|Quien labra la tierra
ARANCEL|Impuesto de aduana
ARBITRAJE|Resolución de un conflicto
ARBOLEDA|Grupo de árboles
ARCADUZ|Caño de la noria
ARCAICO|Muy antiguo y en desuso
ARCHIVO|Lugar donde se guardan documentos
ARDIENTE|Que quema mucho
ARDUO|Muy difícil de lograr
AREA|Superficie de un terreno
ARENGA|Discurso que enardece
ARGUMENTO|Razón que se da
ARIDEZ|Sequedad del terreno
ARISCO|De carácter huraño
ARMADA|Flota de guerra
ARMADURA|Traje de hierro del caballero
ARMISTICIO|Alto el fuego pactado
ARNES|Correaje de seguridad
AROMATICO|De olor agradable
ARPON|Lanza para cazar ballenas
ARQUEOLOGO|Excava ruinas antiguas
ARRABAL|Barrio de las afueras
ARRAIGAR|Echar raíces
ARRASAR|Destruir por completo
ARRASTRAR|Llevar por el suelo
ARREAR|Azuzar a las bestias
ARREBATO|Impulso repentino
ARRENDAR|Dar en alquiler
ARREPENTIR|Sentir pesar por lo hecho
ARRESTO|Detención policial
ARRIESGAR|Poner en peligro
ARRIMAR|Poner junto a la pared
ARRINCONAR|Dejar en un rincón
ARROBA|Signo del correo electrónico
ARRODILLAR|Hincar las rodillas
ARROGANCIA|Soberbia del que se cree superior
ARROJAR|Lanzar con fuerza
ARROLLAR|Atropellar con el coche
ARRUGAR|Llenar de pliegues
ARRUINAR|Dejar sin nada
ARRULLO|Canto suave de la paloma
ARTIFICIO|Truco ingenioso
ARTILLERIA|Cuerpo de los cañones
ARTIMANA|Ardid para engañar
ASADOR|Aparato de hacer pollos
ASALARIADO|Trabajador por cuenta ajena
ASCENDER|Subir de categoría
ASCUA|Brasa encendida
ASEAR|Poner limpio
ASEDIO|Cerco a una ciudad
ASEGURAR|Dar por cierto
ASEMEJAR|Parecerse a otro
ASENTIR|Decir que sí con la cabeza
ASEQUIBLE|De precio razonable
ASERRAR|Cortar con sierra
ASESOR|Da consejo profesional
ASFIXIA|Falta de aire para respirar
ASIDUO|Que acude con frecuencia
ASIGNAR|Destinar a alguien
ASIMILAR|Absorber lo aprendido
ASISTENTE|Quien ayuda en el trabajo
ASOCIAR|Unir para un fin
ASOLEAR|Poner al sol
ASOMAR|Sacar la cabeza por la ventana
ASPERO|De tacto rugoso
ASPIRAR|Tomar aire por la nariz
ASTILLERO|Donde se construyen barcos
ASTRONAUTA|Viajero del espacio
ASTRONOMIA|Ciencia de los astros
ASUMIR|Hacerse cargo
ATADURA|Lo que ata y sujeta
ATALAYA|Torre de vigilancia
ATANOR|Tubo de conducción de agua
ATAR|Sujetar con cuerda
ATARDECER|Última hora de la tarde
ATAREADO|Con mucho trabajo
ATASCAR|Obstruir el desagüe
ATAVIO|Adorno y vestido
ATENDER|Prestar atención
ATENUAR|Suavizar la intensidad
ATERRAR|Causar terror
ATESORAR|Guardar riquezas
ATESTIGUAR|Declarar como testigo
ATINAR|Dar con la solución
ATISBO|Indicio muy leve
ATIZAR|Remover el fuego
ATOLLADERO|Situación sin salida
ATONITO|Pasmado de asombro
ATORNILLAR|Fijar con tornillos
ATOSIGAR|Agobiar con prisas
ATRACAR|Amarrar el barco al muelle
ATRACTIVO|Que despierta interés
ATRAER|Tirar hacia sí
ATRAPAR|Coger al que huye
ATRASO|Retraso acumulado
ATRAVESAR|Cruzar de lado a lado
ATRIBUIR|Achacar a alguien
ATRIL|Sostiene la partitura
ATROPELLO|Abuso contra alguien
ATROZ|Cruel y terrible
ATUENDO|Conjunto de la vestimenta
AUDIFONO|Ayuda a oír
AUDITORIO|Sala de conciertos
AUGURIO|Presagio del futuro
AULLIDO|Grito del lobo
AUMENTAR|Hacer mayor
AUSENTE|Que no está presente
AUSTERO|Sobrio y sin lujos
AUTENTICO|Verdadero, no falso
AUTOPISTA|Vía rápida de peaje
AUTORIDAD|Poder para mandar
AUXILIO|Socorro en el peligro
AVALANCHA|Masa que se precipita
AVANZAR|Ir hacia delante
AVARICIA|Afán desmedido de riqueza
AVELLANO|Árbol de fruto redondo
AVERIGUAR|Llegar a saber
AVERSION|Rechazo profundo
AVIDEZ|Ansia por conseguir algo
AVIVAR|Dar más fuerza al fuego
AZADA|Herramienta de cavar
AZOTE|Golpe con correa
AZUCARERO|Recipiente del terrón
