# Vocabulario general: palabras con Q y con R
QUEBRADA|Paso estrecho entre montes
REFUNFUNAR|Protestar entre dientes
REGALAR|Dar sin cobrar
REGAR|Echar agua a las plantas
REGATEAR|Discutir el precio
REGENTAR|Dirigir un negocio
REGIR|Gobernar un territorio
REGISTRAR|Anotar en un libro
REGLAMENTO|Conjunto de reglas
REGRESAR|Volver al punto de origen
REGULAR|Ajustar el funcionamiento
REHACER|Volver a hacer
REHEN|Persona retenida por la fuerza
REHUSAR|No querer aceptar
REINAR|Gobernar como rey
REINCIDIR|Volver a caer en la falta
REIR|Manifestar alegría
REITERAR|Volver a decir
REIVINDICAR|Reclamar lo que es justo
REJUVENECER|Hacer parecer más joven
RELACION|Trato entre personas
RELAJAR|Aflojar la tensión
RELATAR|Contar con detalle
RELEGAR|Apartar a un segundo plano
RELEVANTE|Que destaca por importante
RELIGIOSO|Fiel de una confesión
RELINCHAR|Dar voces el caballo
REMAR|Mover la barca con remos
REMATAR|Dar el golpe final
REMEDAR|Imitar los gestos
REMEDIAR|Poner solución
REMENDAR|Coser un roto
REMITIR|Enviar por correo
REMOJAR|Poner en agua
REMONTAR|Subir por el aire
REMORDIMIENTO|Pesar por lo hecho
REMOTO|Muy lejano en el tiempo
REMOVER|Dar vueltas a la mezcla
REMUNERAR|Pagar por el trabajo
RENACER|Volver a la vida
RENCILLA|Enemistad pequeña
RENDIR|Entregar las armas
RENEGAR|Abjurar de la fe
RENOVAR|Poner nuevo lo viejo
RENUNCIAR|Dejar voluntariamente
RENIR|Discutir acaloradamente
REPARAR|Arreglar lo estropeado
REPARTIR|Dar a cada uno lo suyo
REPASAR|Volver sobre lo estudiado
REPATRIAR|Devolver a su país
REPELER|Rechazar con fuerza
REPENTINO|Que sucede de golpe
REPETIR|Volver a hacer lo mismo
REPICAR|Tocar las campanas
REPLETO|Lleno del todo
REPLICAR|Contestar lo dicho
REPOBLAR|Plantar árboles de nuevo
REPONER|Volver a poner
REPRENDER|Reñir a alguien
REPRESALIA|Respuesta vengativa
REPRESENTAR|Actuar en el teatro
REPRIMIR|Contener un impulso
REPROCHAR|Echar en cara una falta
REPRODUCIR|Sacar copias
REPUGNAR|Causar asco
REPULSA|Rechazo enérgico
REPUTACION|Fama que se tiene
REQUERIR|Necesitar algo
RESALTAR|Destacar sobre lo demás
RESARCIR|Compensar un daño
RESBALAR|Deslizarse sin querer
RESCATAR|Salvar de un peligro
RESENTIR|Guardar rencor
RESENA|Crítica breve de un libro
RESERVAR|Guardar para más tarde
RESFRIAR|Coger frío
RESGUARDO|Comprobante que se entrega
RESIDIR|Vivir en un lugar
RESIGNAR|Conformarse con la suerte
RESISTIR|Aguantar sin ceder
RESOLVER|Dar solución
RESONAR|Sonar con eco
RESOPLAR|Respirar con fuerza
RESPETAR|Tener consideración
RESPIRAR|Tomar aire
RESPLANDOR|Luz muy viva
RESPONDER|Dar contestación
RESTABLECER|Volver a poner como estaba
RESTAR|Quitar una cantidad
RESTAURANTE|Local donde se come
RESTAURAR|Reparar una obra de arte
RESTRINGIR|Poner límites
RESUCITAR|Volver de la muerte
RESULTAR|Salir de cierta manera
RETAGUARDIA|Parte trasera del ejército
RETAR|Lanzar un desafío
RETARDAR|Hacer más lento
RETENER|No dejar marchar
RETIRAR|Apartar de un sitio
RETORCER|Torcer mucho algo
RETORNAR|Volver al origen
RETOZAR|Jugar y saltar de alegría
RETRASAR|Dejar para más tarde
RETRATAR|Hacer un retrato
RETROCEDER|Volver hacia atrás
RETUMBAR|Resonar con estruendo
REUNIR|Juntar a varios
REVELAR|Descubrir un secreto
REVENTAR|Estallar por la presión
REVERDECER|Volver a echar hojas
REVISAR|Examinar de nuevo
REVIVIR|Volver a la vida
REVOCAR|Anular una orden
REVOLCAR|Dar vueltas por el suelo
REVOLVER|Mezclar dando vueltas
REZAR|Dirigirse a Dios
RIBETE|Cinta del borde de la tela
RIDICULO|Que mueve a risa
RIGIDO|Que no se dobla
RIGUROSO|Muy estricto
RIMAR|Hacer versos que suenen igual
RIVALIDAD|Competencia entre dos
RIZAR|Hacer bucles
ROBAR|Tomar lo ajeno
ROBUSTO|Fuerte y bien formado
ROCIAR|Esparcir gotas
RODAR|Girar sobre sí mismo
RODEAR|Dar la vuelta alrededor
RODEO|Camino más largo
ROER|Desgastar con los dientes
ROGAR|Pedir con humildad
ROMANO|Natural de la ciudad eterna
ROMPER|Hacer pedazos
RONCAR|Hacer ruido durante el sueño
RONDAR|Dar vueltas alrededor
RONRONEAR|Sonar de gusto el gato
ROSARIO|Cuentas del rezo
ROTAR|Dar vueltas sobre un eje
ROTUNDO|Claro y sin dudas
ROZAR|Tocar ligeramente
RUBIO|De cabello claro
RUBORIZAR|Hacer poner colorado
RUDIMENTO|Primer conocimiento
RUGIR|Bramar la fiera
RUGOSO|Lleno de arrugas
RUMIAR|Masticar la vaca lo tragado
RURAL|Propio del campo
RUSTICO|Sencillo y campesino
