# Vocabulario general: palabras con T y con U
TABACO|Planta que se fuma
TRILLAR|Separar el grano de la paja
TRINAR|Cantar los pájaros
TRINCHERA|Zanja de defensa
TRIPLICAR|Hacer tres veces mayor
TRIPULAR|Gobernar la nave
TRISTON|Algo apenado
TRITURAR|Moler en trozos pequeños
TRIUNFAR|Salir vencedor
TROCEAR|Partir en trozos
TRONAR|Retumbar el cielo
TROPEZAR|Dar con el pie en un obstáculo
TROTAR|Ir al trote
TRUNCAR|Cortar por lo sano
TUMBAR|Echar por tierra
TUMULTO|Alboroto de la multitud
TUNANTE|Pícaro y granuja
TURBAR|Alterar la calma
TURBIO|Agua sucia y poco clara
TUTELA|Protección de un menor
TUTEAR|Hablar de tú
UBICAR|Situar en un lugar
UFANO|Satisfecho y orgulloso
ULTIMAR|Dar los últimos toques
ULTRAJE|Ofensa muy grave
ULULAR|Dar gritos el búho
UNANIME|Aceptado por todos
UNGIR|Aplicar óleo sagrado
UNIFICAR|Reducir a una unidad
UNIR|Juntar dos cosas
UNISONO|Todos a la vez
UNTAR|Extender una capa de grasa
URBANO|De la ciudad
URDIR|Preparar un plan
URGIR|Correr mucha prisa
USAR|Emplear algo
USUARIO|Quien utiliza un servicio
USURPAR|Apoderarse de lo ajeno
UTIL|Que sirve para algo
UTILIZAR|Sacar provecho de algo
UTOPIA|Ideal irrealizable
