# Formas verbales en futuro, condicional y subjuntivo, definidas por sinónimo
ABRIREMOS|Destaparemos lo cerrado
PASAREMOS|Cruzaremos de largo
PEDIREMOS|Solicitaremos el favor
PENSAREMOS|Discurriremos sobre ello
PERDEREMOS|Nos quedaremos sin ello
PODRA|Tendrá fuerza para ello
PODRAN|Estarán en condiciones
PODREMOS|Estaremos en condiciones
PODRIA|Estaría en condiciones
PODRIAN|Tendrían ocasión de hacerlo
PONDRA|Colocará en su sitio
PONDRAN|Situarán donde toca
PONDREMOS|Colocaremos en su sitio
PONDRIA|Colocaría en su sitio
PONDRIAN|Situarían donde toca
PROBAREMOS|Haremos la prueba
QUEDAREMOS|Permaneceremos allí
QUERRA|Amará de veras
QUERRAN|Desearán con fuerza
QUERREMOS|Desearemos con fuerza
QUERRIA|Desearía con fuerza
QUERRIAN|Amarían de veras
QUITAREMOS|Apartaremos de en medio
RECIBIREMOS|Tomaremos lo enviado
REIREMOS|Mostraremos nuestra alegría
RESPONDERA|Dará la contestación
SABRA|Tendrá noticia de ello
SABRAN|Llegarán a enterarse
SABREMOS|Tendremos noticia de ello
SABRIA|Tendría noticia de ello
SABRIAN|Llegarían a enterarse
SALDRA|Marchará fuera
SALDRAN|Irán hacia la calle
SALDREMOS|Marcharemos fuera
SALDRIA|Marcharía fuera
SALDRIAN|Irían hacia la calle
SALTAREMOS|Brincaremos de gozo
SEGUIREMOS|Iremos detrás
SEREMOS|Llegaremos a ser
SERIA|Llegaría a ser
SERIAN|Llegarían a ser
SERVIREMOS|Atenderemos la mesa
SUBIREMOS|Ascenderemos la escalera
SUMAREMOS|Añadiremos las cantidades
TENDRA|Poseerá en propiedad
TENDRAN|Contarán con ello
TENDREMOS|Poseeremos en propiedad
TENDRIA|Poseería en propiedad
TENDRIAN|Contarían con ello
TERMINAREMOS|Pondremos fin
TOCAREMOS|Pondremos la mano encima
TOMAREMOS|Cogeremos para nosotros
TRABAJAREMOS|Ganaremos el jornal
TRAERA|Llevará hasta aquí
TRAERAN|Acercarán lo pedido
TRAEREMOS|Llevaremos hasta aquí
USAREMOS|Nos serviremos de ello
VALDRA|Tendrá su precio
VALDRAN|Alcanzarán su valor
VALDREMOS|Tendremos nuestro precio
VALDRIA|Tendría su precio
VENDEREMOS|Daremos por dinero
VENDRA|Llegará de camino
VENDRAN|Arribarán al fin
VENDREMOS|Llegaremos de camino
VENDRIA|Llegaría de camino
VENDRIAN|Arribarían al fin
VENCEREMOS|Quedaremos por encima
VEREMOS|Percibiremos con la vista
VERIA|Percibiría con la vista
VERIAN|Contemplarían la escena
VIAJAREMOS|Recorreremos tierras
VIVIREMOS|Tendremos vida
VIVIRIA|Tendría vida
VIVIRIAN|Tendrían vida
VOLAREMOS|Nos sostendremos en el aire
VOLVEREMOS|Regresaremos al punto
AMARA|Quisiera de corazón
AMARAN|Quisieran de corazón
ANDUVIERA|Caminara sin prisa
ANDUVIERON|Caminaron sin prisa
BEBIERA|Tomara el líquido
CANTARA|Entonara una copla
COMIERA|Tomara alimento
CUPIERA|Tuviera sitio dentro
CUPIERON|Tuvieron sitio dentro
DIJERA|Manifestara de palabra
DIJERAN|Manifestaran su parecer
DURMIERA|Reposara en el lecho
ESTUVIERA|Se hallara presente
ESTUVIERON|Se hallaron presentes
FUERAN|Se dirigieran allá
HICIERA|Llevara a cabo la obra
HICIERAN|Ejecutaran el trabajo
HUBIERA|Se diera el caso
LEYERA|Recorriera el escrito
LEYERON|Recorrieron el escrito
OYERA|Percibiera el sonido
PIDIERA|Solicitara el favor
PIDIERON|Solicitaron el favor
PUDIERA|Estuviera en condiciones
PUDIERON|Estuvieron en condiciones
PUSIERA|Colocara en su sitio
QUISIERA|Deseara con fuerza
QUISIERON|Desearon con fuerza
SUPIERA|Tuviera noticia de ello
SUPIERON|Tuvieron noticia de ello
TRAJERA|Llevara hasta aquí
TUVIERA|Poseyera en propiedad
VINIERA|Llegara de camino
VINIERON|Llegaron de camino
VIVIERA|Tuviera vida
