# Vocabulario general: palabras con J, K y L
JABALI|Cerdo salvaje del monte
LAVAR|Quitar la suciedad con agua
LAXANTE|Facilita la evacuación
LAZAR|Coger con lazo
LEALTAD|Fidelidad a los suyos
LECHAL|Cordero que aún mama
LECHERIA|Tienda de productos lácteos
LECHON|Cochinillo de leche
LECTOR|Quien lee libros
LEER|Interpretar lo escrito
LEGADO|Representante del Papa
LEGAJO|Atado de documentos
LEGAL|Conforme a la ley
LEGENDARIO|Propio de las leyendas
LEGIBLE|Que se puede leer
LEGISLAR|Hacer las leyes
LEGITIMO|Conforme a derecho
LEGUA|Antigua medida de camino
LEJANO|Que está a distancia
LENGUAJE|Manera de expresarse
LENIDAD|Blandura al castigar
LENTITUD|Falta de rapidez
LENA|Madera para arder
LEPROSO|Enfermo de lepra
LERDO|Torpe y lento de entendederas
LESIONAR|Producir un daño físico
LETARGO|Sueño profundo y largo
LETRERO|Cartel con un aviso
LEUCEMIA|Cáncer de la sangre
LEVANTAR|Poner en alto
LEVE|De poca importancia
LEVITA|Chaqueta larga antigua
LEXICO|Vocabulario de una lengua
LIAR|Envolver en un lío
LIBAR|Chupar el néctar de la flor
LIBELO|Escrito que difama
LIBERAR|Poner en libertad
LIBIDO|Deseo sexual
LIBRAR|Salvar de un peligro
LIBRERO|Vende libros
LIBREA|Uniforme del criado
LICENCIADO|Titulado universitario
LICITAR|Pujar en una subasta
LICUAR|Volver líquido
LIDIAR|Torear la res
LIGAR|Atar dos cosas
LIGERO|De escaso peso
LIJAR|Alisar con papel de vidrio
LIMAR|Pulir con la lima
LIMITAR|Poner un tope
LIMOSNERO|Que pide caridad
LIMPIAR|Quitar la suciedad
LIMPIO|Sin mancha alguna
LINDAR|Tener un límite común
LINDE|Raya que separa dos fincas
LINDO|Bonito y agradable
LINGOTE|Barra de metal fundido
LINGUISTICA|Ciencia del lenguaje
LIQUIDAR|Vender a bajo precio
LISIAR|Dejar con una lesión
LISO|Sin asperezas
LISONJA|Halago interesado
LISTADO|Relación impresa
LISTO|Rápido de entendimiento
LITERAL|Al pie de la letra
LITERATURA|Arte de la palabra escrita
LITORAL|Franja junto al mar
LITURGIA|Culto oficial de la Iglesia
LIVIANO|De muy poco peso
LIVIDO|Pálido y amoratado
LLAMADA|Aviso por teléfono
LLAMAR|Dar voces a alguien
LLAMATIVO|Que atrae las miradas
LLANEZA|Sencillez en el trato
LLANURA|Terreno extenso y liso
LLAVERO|Anilla de las llaves
LLENAR|Ocupar todo el espacio
LLEVAR|Transportar de un sitio a otro
LLORAR|Verter lágrimas
LLORON|Que llora por todo
LLOVER|Caer agua del cielo
LLOVIZNA|Lluvia muy fina
LOAR|Alabar con palabras
LOCALIZAR|Dar con el paradero
LOCOMOCION|Traslado de un lugar a otro
LOCUAZ|Que habla muchísimo
LOCUTOR|Habla por la radio
LOGRAR|Conseguir el objetivo
LOMBRIZ|Gusano de la tierra
LONGEVO|Que vive muchos años
LONJA|Mercado del pescado
LOQUERO|Cuidador de un manicomio
LUBRICAR|Engrasar un mecanismo
LUCIDO|De mente clara
LUCIR|Mostrar con orgullo
LUCRO|Ganancia que se obtiene
LUDICO|Relativo al juego
LUEGO|Después de un rato
LUGARENO|Habitante de un pueblo
LUGUBRE|Triste y sombrío
LUMBRE|Fuego del hogar
LUMINOSO|Que despide luz
LUNATICO|De humor muy cambiante
LUSTRAR|Sacar brillo
LUSTRO|Periodo de cinco años
LUZBEL|Nombre del ángel caído
