# Segunda vuelta de vocabulario: A, B y C
ABALORIO|Cuentecilla de collar
ALCAPARRA|Botón floral en vinagre
ALCAYATA|Clavo en forma de ele
ALCOHOLERA|Fábrica de alcohol
ALCURNIA|Estirpe noble
ALDABON|Llamador grande de la puerta
ALEACION|Mezcla de dos metales
ALECCIONAR|Dar una lección
ALEGATO|Discurso de defensa
ALELUYA|Voz de júbilo religioso
ALENTADOR|Que da ánimos
ALERGICO|Sensible a una sustancia
ALEVOSIA|Traición y cautela en el delito
ALFANJE|Sable corto y curvo
ALFARERO|Trabaja el barro
ALFEIZAR|Vuelta del muro en la ventana
ALGARABIA|Griterío confuso
ALGARADA|Tumulto callejero
ALGAZARA|Ruido alegre de mucha gente
ALIADO|Unido a otro por pacto
ALICAIDO|Falto de ánimo
ALICIENTE|Incentivo que atrae
ALIENADO|Que ha perdido el juicio
ALIGERADO|Hecho más ligero
ALIMANA|Animal perjudicial
ALIMENTAR|Dar de comer
ALIMONIA|Pensión al cónyuge
ALINEACION|Lista de los que juegan
ALIMENTICIO|Que alimenta
ALIVIADERO|Desagüe del embalse
ALJIBE|Depósito subterráneo de agua
ALMACENAR|Guardar en depósito
ALMANAQUE|Calendario con datos del año
ALMEJAR|Criadero de moluscos
ALMENDRAL|Terreno de almendros
ALMIDON|Sustancia que endurece la ropa
ALMIRANTAZGO|Alto mando de la marina
ALMOHADILLA|Cojín pequeño
ALMORZAR|Tomar la comida del mediodía
ALOCADO|Que obra sin juicio
ALOJAMIENTO|Lugar donde hospedarse
ALPACA|Metal blanco de la cubertería
ALQUIMIA|Antigua ciencia de transmutar metales
ALTANERO|Soberbio y desdeñoso
ALTERCADO|Disputa acalorada
ALTERNAR|Turnarse dos cosas
ALTILLO|Desván pequeño
ALTIMETRO|Mide la altura de vuelo
ALTIPLANICIE|Meseta muy elevada
ALTRUISTA|Que mira por los demás
ALUCINACION|Visión de lo que no existe
ALUMBRADO|Conjunto de luces de la calle
ALUVION|Avenida de agua y lodo
ALZAMIENTO|Rebelión contra el poder
AMADRINAR|Apadrinar como madrina
AMAESTRAR|Enseñar habilidades al animal
AMALGAMA|Mezcla de cosas distintas
AMANERADO|De gestos afectados
AMARGURA|Pena y disgusto hondos
AMARILLENTO|Que tira a amarillo
AMASIJO|Mezcla desordenada
AMBIGUO|Que admite dos sentidos
AMBULANTE|Que va de un lugar a otro
AMEDRENTAR|Infundir miedo
AMENAZAR|Anunciar un daño
AMENIZAR|Hacer agradable un acto
AMERICANO|Natural del nuevo continente
AMIGABLE|De trato amistoso
AMILANAR|Acobardar a alguien
AMISTOSO|Propio de los amigos
AMNESIA|Pérdida de la memoria
AMNISTIA|Perdón general de penas
AMODORRAR|Producir sopor
AMOLDAR|Ajustar a un molde
AMONESTACION|Aviso de castigo
AMORDAZAR|Tapar la boca para que calle
AMORFO|Sin forma definida
AMPARADOR|Que da protección
AMPLIFICAR|Aumentar el sonido
AMPULOSO|De estilo recargado
AMURALLAR|Rodear de murallas
ANACRONICO|Fuera de su tiempo
ANALGESIA|Ausencia de dolor
ANALIZAR|Estudiar por partes
ANARQUISTA|Partidario de suprimir el Estado
ANATEMA|Condena religiosa solemne
ANCESTRO|Antepasado lejano
ANCLAJE|Sujeción firme al suelo
ANDADURA|Marcha o recorrido
ANDANADA|Descarga de artillería
ANDARIEGO|Muy aficionado a caminar
ANDROIDE|Robot de figura humana
ANEGAR|Inundar de agua
ANESTESISTA|Médico que duerme al paciente
ANEXO|Añadido a lo principal
ANFETAMINA|Estimulante del sistema nervioso
ANGELICAL|Propio de los ángeles
ANGOSTURA|Estrechez de un paso
ANHELAR|Desear con ansia
ANIMADVERSION|Antipatía declarada
ANIMOSO|Lleno de brío
ANIQUILACION|Destrucción total
ANODINO|Insulso y sin interés
ANSIAR|Desear con vehemencia
ANTAGONICO|Radicalmente opuesto
ANTANO|En tiempos pasados
ANTECEDENTE|Hecho anterior que explica otro
ANTEMANO|Con anticipación
ANTEPASADO|Pariente de generaciones atrás
ANTEPECHO|Pretil de una ventana
ANTEPONER|Poner delante
ANTESALA|Sala previa a otra
ANTIBALAS|Que resiste los disparos
ANTICIPAR|Adelantar en el tiempo
ANTICUADO|Pasado de moda
ANTIGUALLA|Cosa vieja y sin valor
ANTILLANO|Natural de las Antillas
ANTIPODA|Punto opuesto del globo
ANUDAR|Hacer un nudo
ANULACION|Declaración de nulidad
ANUNCIANTE|Quien paga la publicidad
ANADIDURA|Lo que se agrega
ANEJO|Edificio unido a otro
APABULLAR|Dejar confuso y vencido
APACENTAR|Llevar el ganado a pastar
APALABRAR|Acordar de palabra
APAREAR|Juntar en pareja
APARENTAR|Dar a entender lo que no es
APARICIONES|Presencias inesperadas
APARTAMENTO|Vivienda pequeña
APARTHEID|Segregación racial institucional
APASIONAR|Despertar una gran pasión
APEADERO|Parada menor del tren
APELACION|Recurso ante un tribunal superior
APELLIDAR|Llamar por el nombre de familia
APERCIBIR|Advertir con anticipación
APERO|Instrumento de labranza
APESADUMBRAR|Causar pesadumbre
APETECER|Desear algo agradable
APILAMIENTO|Montón ordenado
APIÑAR|Juntar muy apretado
APLACIBLE|Grato y tranquilo
APLANAR|Poner llano
APLAUDIR|Batir las palmas
APLICACION|Esmero en el estudio
APOCADO|De poco ánimo
APOCALIPSIS|Fin catastrófico del mundo
APOCOPE|Supresión del final de una palabra
APODERAR|Dar poderes a alguien
APOLILLAR|Roer la polilla
APOLOGIA|Defensa elogiosa de algo
APOPLEJIA|Ataque cerebral repentino
APOSTILLA|Nota que aclara un texto
APOSTOLADO|Misión de predicar
APOTEOSIS|Final glorioso y brillante
APRECIABLE|Digno de estima
APRECIO|Estima que se tiene
APRENDIZAJE|Adquisición de conocimientos
APREMIAR|Dar prisa con urgencia
APRESURAR|Acelerar el paso
APRETUJAR|Apretar con fuerza y desorden
APRISCO|Redil donde se recoge el ganado
APRISIONAR|Sujetar sin dejar escapar
APROBADO|Calificación de cinco
APROVISIONAR|Dotar de provisiones
APTO|Que sirve para algo
APUNTALAR|Sostener con puntales
APURAR|Acabar hasta la última gota
AQUEJAR|Afligir una dolencia
AQUELARRE|Reunión de brujas
AQUIETAR|Poner en calma
ARABESCO|Adorno de líneas entrelazadas
ARANCELARIO|Relativo a los impuestos de aduana
ARBITRARIO|Que depende del capricho
ARBOLADURA|Conjunto de palos del barco
ARBOTANTE|Arco exterior que sostiene el muro
ARCAISMO|Palabra que ya no se usa
ARCANGEL|Ángel de rango superior
ARCEDIANO|Dignidad de la catedral
ARCHIPIELAGO|Conjunto de islas
ARCHIVAR|Guardar un documento
ARDIDO|Valiente y esforzado
ARDIENTE|Que abrasa
ARDITE|Moneda antigua de poco valor
ARENAL|Terreno de mucha arena
ARENISCA|Roca formada por granos de arena
ARENQUE|Pescado que se ahúma
ARGAMASA|Mezcla de cal, arena y agua
ARGENTINO|De sonido claro como la plata
ARGOLLA|Aro grueso de metal
ARGUCIA|Razón sutil y engañosa
ARGUMENTAR|Dar razones
ARIETE|Máquina antigua de derribar puertas
ARISTOCRACIA|Clase de los nobles
ARMATOSTE|Objeto grande y estorboso
ARMAZON|Estructura que sostiene
ARMERIA|Tienda o museo de armas
ARMONIOSO|De sonidos bien conjuntados
ARQUEAR|Dar forma de arco
ARQUETIPO|Modelo original
ARRABALERO|De modales groseros
ARRACIMAR|Agruparse como un racimo
ARRAIGADO|Bien asentado desde antiguo
ARRAMBLAR|Llevarse todo
ARRANCADA|Salida brusca del vehículo
ARRAPIEZO|Chiquillo de poca edad
ARREBATAR|Quitar con violencia
ARRECIAR|Aumentar la fuerza del temporal
ARREGLADO|Puesto en orden
ARREMANGAR|Subir las mangas
ARREMETER|Acometer con ímpetu
ARREMOLINAR|Formar remolinos
ARRENDAMIENTO|Contrato de alquiler
ARREPENTIDO|Que lamenta lo hecho
ARRIATE|Bancal estrecho de flores
ARRIBISTA|Que busca medrar sin escrúpulos
ARRIERO|Conduce bestias de carga
ARRIMO|Apoyo o protección
ARROBAR|Embelesar los sentidos
ARROGARSE|Atribuirse una facultad
ARROJADO|Audaz y decidido
ARROPAR|Cubrir con ropa de abrigo
ARROSTRAR|Hacer frente a un peligro
ARROYUELO|Corriente pequeña de agua
ARRUMACO|Carantoña cariñosa
ARSENICO|Veneno de los relatos policíacos
ARTEFACTO|Máquina o aparato
ARTERO|Mañoso y astuto
ARTESA|Recipiente para amasar
ARTESANIA|Trabajo hecho a mano
ARTICULAR|Unir por articulaciones
ARZOBISPO|Prelado de una archidiócesis
ASADURA|Vísceras de la res
ASALTANTE|Quien acomete por sorpresa
ASCENDENCIA|Conjunto de los antepasados
ASCENSION|Subida a lo alto
ASCETA|Quien vive con gran austeridad
ASEDIAR|Poner cerco a una plaza
ASENTAMIENTO|Lugar donde se establece un grupo
ASEVERAR|Afirmar con seguridad
ASFALTAR|Cubrir con asfalto
ASIDERO|Parte por donde se agarra
ASIENTO|Lugar para sentarse
ASIGNATURA|Materia del curso
ASILAR|Acoger al desamparado
ASOCIACION|Grupo con un fin común
ASOLAR|Destruir un territorio
ASOMBROSO|Que causa gran sorpresa
ASPAVIENTO|Gesto exagerado de asombro
ASPIRANTE|Candidato a un puesto
ASQUEROSO|Que produce repugnancia
ASTEROIDE|Cuerpo rocoso del espacio
ASTIL|Mango de una herramienta
ASTRACANADA|Obra teatral disparatada
ASTRINGENTE|Que cierra los poros
ASTROLOGIA|Adivinación por los astros
ASTUTO|Hábil para engañar
ASUNCION|Acto de asumir
ATABAL|Tambor de caja pequeña
ATADIJO|Lío mal atado
ATALAJE|Guarnición de las caballerías
ATANER|Corresponder a alguien un asunto
ATAQUE|Acometida contra el enemigo
ATARANTAR|Aturdir a alguien
ATARDECIDA|Últimas horas de la tarde
ATASCO|Obstrucción de un conducto
ATAVIAR|Vestir con adornos
ATEMORIZAR|Causar temor
ATEMPERAR|Moderar la intensidad
ATENAZAR|Sujetar con fuerza
ATENERSE|Ajustarse a una norma
ATENTADO|Agresión contra alguien
ATERIDO|Pasmado de frío
ATERRADOR|Que causa terror
ATESTADO|Documento policial de un suceso
ATIBORRAR|Llenar hasta reventar
ATILDADO|Pulcro y arreglado
ATIPICO|Que se sale de lo normal
ATIRANTAR|Poner tirante
ATOLONDRADO|Aturdido y precipitado
ATOMIZAR|Dividir en partes mínimas
ATONAL|Música sin tonalidad definida
ATRACADOR|Ladrón que usa la violencia
ATRACON|Comilona desmedida
ATRANCAR|Cerrar con tranca
ATRIBUCION|Facultad que corresponde a un cargo
ATRIBULAR|Causar tribulación
ATRINCHERAR|Protegerse en trincheras
ATROFIA|Disminución de un órgano
ATRONADOR|De ruido ensordecedor
ATURDIR|Dejar aturullado
AUDACIA|Atrevimiento notable
AUDICION|Prueba de selección de artistas
AUDITAR|Revisar las cuentas
AUGUSTO|Que infunde respeto
AUREOLA|Cerco luminoso de los santos
AUSCULTAR|Escuchar los sonidos del cuerpo
AUSTERIDAD|Sobriedad sin lujos
AUTARQUIA|Autosuficiencia económica
AUTENTICAR|Dar por auténtico
AUTOCTONO|Originario del propio lugar
AUTOMATA|Máquina que se mueve sola
AUTONOMIA|Capacidad de gobernarse
AUTOPSIA|Examen del cadáver
AUTORIZAR|Dar permiso
AUXILIAR|Que presta ayuda
AVALAR|Garantizar un pago
AVASALLAR|Someter con prepotencia
AVATAR|Cambio o vicisitud
AVECINAR|Acercarse algo en el tiempo
AVEJENTADO|Que aparenta más edad
AVENENCIA|Acuerdo entre partes
AVENTAJAR|Llevar ventaja
AVENTAR|Echar al viento la parva
AVERGONZAR|Causar vergüenza
AVEZADO|Experimentado en algo
AVIADOR|Piloto de aeronaves
AVICULTURA|Cría de aves
AVIONETA|Avión pequeño
AVITUALLAR|Proveer de víveres
AVIZORAR|Acechar con la vista
AVUTARDA|Ave esteparia de gran peso
AXIOMA|Verdad evidente que no se demuestra
AYUDANTE|Quien auxilia en el trabajo
AZACAN|Aguador que reparte
AZADON|Azada de pala estrecha
AZARAR|Turbar a alguien
AZAROSO|Lleno de contratiempos
AZOGUE|Nombre antiguo del mercurio
AZORAR|Sobresaltar y confundir
AZUZAR|Incitar al perro
BACANTE|Sacerdotisa del dios del vino
BACIA|Vasija del barbero
BADEN|Depresión del firme para el agua
BAGAJE|Conjunto de conocimientos
BAGATELA|Cosa de poquísimo valor
BAHIA|Entrada del mar en la tierra
BALADRON|Fanfarrón que presume de valiente
BALANCEAR|Mover de un lado a otro
BALANZAR|Poner en equilibrio
BALASTO|Grava de la vía del tren
BALDOSADO|Suelo cubierto de baldosas
BALIZAR|Señalar con balizas
BALLESTERO|Soldado que usaba la ballesta
BALUARTE|Defensa saliente de la fortificación
BAMBOLEAR|Moverse sin firmeza
BANALIDAD|Dicho sin ninguna sustancia
BANCARROTA|Quiebra total de un negocio
BANDEAR|Atravesar de parte a parte
BANDERIN|Bandera pequeña
BAQUETEADO|Curtido por la experiencia
BARAHUNDA|Ruido y confusión grandes
BARATIJA|Objeto de escaso valor
BARATURA|Precio bajo
BARBARISMO|Falta de propiedad en el habla
BARBILINDO|Joven presumido
BARBOTEAR|Hablar entre dientes
BARBOTE|Pieza del casco que cubre la barbilla
BARCHILLA|Antigua medida de grano
BARDA|Cubierta de espinos sobre la tapia
BARLOAR|Acercar un barco a otro
BAROMETRICO|Relativo a la presión del aire
BARQUINAZO|Vaivén brusco del vehículo
BARRACON|Edificio provisional alargado
BARRANQUERA|Cauce abierto por las aguas
BARRENAR|Taladrar con la barrena
BARRERO|Terreno del que se saca barro
BARRIGON|De vientre muy abultado
BARRILETE|Barril pequeño
BARROQUISMO|Gusto por el exceso ornamental
BARRUNTO|Sospecha o indicio
BASAMENTO|Base de una columna
BASTARDILLA|Letra inclinada de imprenta
BASTEZA|Tosquedad y grosería
BASTONAZO|Golpe dado con el bastón
BATALLAR|Pelear con insistencia
BATANERO|Quien trabajaba los paños
BATEA|Bandeja de madera o plataforma flotante
BATIBURRILLO|Mezcla confusa de cosas
BAUTIZAR|Administrar el bautismo
BAZOFIA|Comida mala y repugnante
BEATERIA|Devoción exagerada
BECERRADA|Corrida de reses jóvenes
BEDUINO|Habitante nómada del desierto
BEFA|Burla grosera y ofensiva
BELDAD|Gran hermosura
BELLAQUERIA|Acción propia de un ruin
BENDICION|Gracia que se invoca
BENEPLACITO|Aprobación y permiso
BERENJENAL|Lío del que es difícil salir
BERGANTIN|Velero de dos palos
BERMEJEAR|Tirar a rojizo
BERREAR|Gritar desaforadamente
BERREO|Bramido del ciervo en celo
BESUQUEO|Serie de besos repetidos
BIBELOT|Figurita de adorno
BIBLIOFILO|Amante de los libros raros
BICOCA|Ganga que cuesta poco
BIELDAR|Aventar la mies con el bieldo
BIENANDANZA|Fortuna y prosperidad
BIENAVENTURADO|Feliz en el cielo
BIFURCACION|División en dos ramales
BILATERALIDAD|Condición de lo que tiene dos partes
BILLARISTA|Jugador de billar
BIOGRAFIAR|Escribir la vida de alguien
BIRLIBIRLOQUE|Modo mágico de hacer algo
BISBISEAR|Hablar en voz muy baja
BISECAR|Dividir en dos partes iguales
BISEL|Corte oblicuo del borde
BISONTE|Bóvido de la pradera americana
BIZARRIA|Gallardía y valor
BIZCOCHADA|Sopa dulce de bizcocho
BLANDURA|Cualidad de lo que cede al tacto
BLANQUECINO|Que tira a blanco
BLASFEMAR|Decir palabras contra lo sagrado
BLASON|Escudo con las armas de un linaje
BLINDAR|Proteger con planchas
BLOQUEAR|Cortar toda comunicación
BOBALICON|Simple y algo tonto
BOCACALLE|Entrada de una calle
BOCETAR|Trazar el primer apunte
BOCHINCHE|Tumulto y alboroto
BOFETON|Golpe fuerte en la mejilla
BOGAR|Remar en la embarcación
BOHEMIO|De vida libre y artística
BOICOTEO|Rechazo organizado
BOJEAR|Medir el contorno de una isla
BOLLERIA|Conjunto de dulces de horno
BOMBACHO|Pantalón ancho de pernera fruncida
BOMBAZO|Explosión muy fuerte
BOMBERIL|Relativo a los que apagan fuegos
BONACHONERIA|Bondad sencilla y confiada
BONANCIBLE|Tiempo apacible en el mar
BOQUEADA|Última respiración
BORBOLLAR|Hervir haciendo burbujas
BORDONEAR|Ir tanteando con el bastón
BOREALIDAD|Condición de lo del norte
BORRACHERA|Estado del que ha bebido mucho
BORRAJEAR|Emborronar papel
BORROSO|Que se ve poco claro
BOSQUEJAR|Trazar a grandes rasgos
BOTARGA|Vestimenta ridícula de fiesta
BOTONADURA|Juego de botones de una prenda
BOYANTE|Próspero y afortunado
BOYERO|Quien guarda los bueyes
BRACERAR|Mover mucho los brazos
BRAGAZAS|Hombre que se deja dominar
BRAMIDO|Voz fuerte del toro o del mar
BRASEAR|Cocinar a fuego lento en su jugo
BRAVATA|Amenaza jactanciosa
BRAVUCONADA|Alarde de falso valor
BREGA|Lucha y trajín constantes
BREVIARIO|Compendio breve de una materia
BRIBONEAR|Vivir como un pícaro
BRIDON|Caballo brioso con brida
BRILLANTEZ|Lucimiento y esplendor
BRINCADOR|Que da muchos saltos
BRIZNAR|Lloviznar muy suavemente
BROMATOLOGIA|Ciencia de los alimentos
BRONQUINA|Riña con mucho ruido
BROQUELAR|Cubrirse con el escudo
BROTADURA|Salida de los brotes
BRUJULEAR|Buscar el rumbo con maña
BRUMOSO|Cubierto de niebla
BRUTALIDAD|Acción violenta y sin razón
BUCEADOR|Quien nada bajo el agua
BUCOLICA|Poesía de tema pastoril
BUFONADA|Dicho o acción de payaso
BUHARDA|Ventana del tejado
BULEVAR|Avenida ancha con árboles
BULLANGUERO|Amigo del jaleo
BUROCRATA|Funcionario apegado al trámite
BURRADA|Dicho o hecho disparatado
BUSCAPIES|Cohete que corre por el suelo
BUTACON|Butaca grande y cómoda
BUZAR|Inclinarse un estrato geológico
CABALIDAD|Exactitud y perfección
CABALGADURA|Bestia que se monta
CABECILLA|Jefe de un grupo rebelde
CABELLUDO|Que tiene mucho pelo
CABILDEO|Gestiones para ganar voluntades
CABILDO|Junta de canónigos o del concejo
CABRESTANTE|Torno vertical que arrastra pesos
CABRIO|Relativo a las cabras
CACAREO|Canto repetido de la gallina
CACOFONIA|Sonido desagradable al repetirse
CACHAZA|Calma excesiva al obrar
CACHEAR|Registrar a alguien
CACHIVACHE|Trasto de poco valor
CADENCIOSO|De ritmo grato y regular
CADUCIDAD|Fin de la validez
CAGARRUTA|Excremento del ganado menudo
CAIMIENTO|Decaimiento del ánimo
CALABOBOS|Llovizna fina y persistente
CALABOZO|Celda oscura
CALAFATEAR|Tapar las juntas del barco
CALAMINA|Mineral de cinc
CALANDRAR|Alisar el papel con rodillos
CALAVEREAR|Llevar vida disipada
CALCETERIA|Fábrica de medias y calcetines
CALCIFICAR|Endurecer con sales de calcio
CALCOMANIA|Estampa que se transfiere
CALDEAR|Caldear el ambiente
CALDERERO|Fabrica y repara calderas
CALESA|Coche de caballos de dos ruedas
CALETRE|Juicio y discernimiento
CALIDOSCOPIO|Tubo de figuras simétricas
CALIGINOSO|Denso y oscuro
CALISTENIA|Gimnasia con el propio peso
CALLEJUELA|Calle estrecha y corta
CALOSTRO|Primera leche tras el parto
CALZADOR|Ayuda a meter el pie en el zapato
CAMANDULERO|Hipócrita y embustero
CAMARERIA|Oficio del que sirve la mesa
CAMASTRO|Cama pobre e incómoda
CAMBALACHE|Trueque de cosas de poco valor
CAMELLERO|Conductor de camellos
CAMORRA|Riña ruidosa
CAMPANEO|Toque repetido de campanas
CAMPANTE|Satisfecho y despreocupado
CAMPEAR|Sobresalir en el campo
CANALLADA|Acción vil y ruin
CANDELARIA|Fiesta de la purificación
CANDENTE|Al rojo vivo
CANJEAR|Cambiar una cosa por otra
CANONIGO|Miembro del cabildo catedralicio
CANONIZAR|Declarar santo
CANSINO|Que se mueve con pesadez
CANTARERA|Mueble donde se ponen los cántaros
CANTINERO|Quien atiende la cantina
CANTIZAL|Terreno lleno de piedras
CANTONERA|Refuerzo de las esquinas
CAOTICO|Lleno de desorden
CAPACHO|Espuerta de esparto
CAPITANEAR|Ir al frente de un grupo
CAPITOSTE|Persona que manda con influencia
CAPOTAR|Volcar el vehículo
CAPRICHOSO|Que obra por antojo
CARABINERO|Antiguo guardia de costas
CARACOLEAR|Dar vueltas el caballo
CARAMBANO|Cilindro de hielo que cuelga
CARANTONA|Halago para conseguir algo
CARATULAR|Poner portada
CARBONIZAR|Reducir a carbón
CARBUNCLO|Rubí de brillo intenso
CARCAJ|Estuche de las flechas
CARCOMER|Roer poco a poco
CARDUMEN|Banco de peces
CAREO|Confrontación de dos declarantes
CARESTIA|Precio alto de lo necesario
CARGANTE|Que resulta muy pesado
CARIACONTECIDO|De semblante apesadumbrado
CARIARSE|Picarse un diente
CARICATURIZAR|Exagerar los rasgos de alguien
CARIBENO|Del mar de las Antillas
CARIÑOSO|Que muestra afecto
CARLINGA|Cabina del piloto
CARNADA|Cebo de carne para pescar
CARNAVALESCO|Propio de las fiestas de disfraces
CAROTIDEO|Relativo a la arteria del cuello
CARPINTEAR|Trabajar en madera
CARRASPEAR|Aclarar la garganta
CARRETEAR|Llevar en carro
CARRILLERA|Correa que sujeta el casco
