# Vocabulario general: palabras que empiezan por M
MACARRON|Pasta corta y hueca
MEZQUITA|Templo musulmán
MICROBIO|Ser vivo diminuto
MICROFONO|Recoge la voz
MIEDO|Temor ante un peligro
MIEL|Producto dulce de la abeja
MIEMBRO|Brazo o pierna
MIGA|Parte blanda del pan
MILAGRO|Hecho sobrenatural
MILITAR|Miembro del ejército
MILLA|Medida marina de distancia
MILLON|Mil veces mil
MIMBRE|Vara flexible de las cestas
MINA|Excavación del mineral
MINERAL|Sustancia de la corteza terrestre
MINERO|Trabaja bajo tierra
MINISTRO|Miembro del gobierno
MINUTO|Sesenta segundos
MIRADA|Acción de mirar
MIRLO|Pájaro negro de pico amarillo
MISA|Celebración de la eucaristía
MISERIA|Pobreza extrema
MISION|Encargo que se confía
MISTERIO|Lo que no se puede explicar
MITAD|Cada una de dos partes iguales
MITO|Leyenda de dioses y héroes
MOCHILA|Bolsa de la espalda
MODA|Uso pasajero del vestir
MODELO|Ejemplo a seguir
MODESTIA|Falta de vanidad
MOHO|Hongo de la humedad
MOJON|Piedra que marca el límite
MOLDE|Da forma a la masa
MOLE|Masa enorme y pesada
MOLESTIA|Incomodidad que fastidia
MOLINO|Muele el grano
MOMENTO|Espacio breve de tiempo
MOMIA|Cadáver embalsamado
MONARCA|Rey de un reino
MONASTERIO|Casa de monjes
MONEDA|Pieza de metal para pagar
MONJE|Religioso de clausura
MONO|Animal que imita al hombre
MONSTRUO|Ser horrible y deforme
MONTANA|Gran elevación del terreno
MONTON|Conjunto amontonado
MONUMENTO|Obra que conmemora algo
MORADA|Casa donde se habita
MORAL|Regla de la buena conducta
MORCILLA|Embutido negro de sangre
MORDISCO|Bocado que se da
MORENO|De piel tostada
MORRAL|Zurrón del cazador
MORRO|Hocico del animal
MORSA|Mamífero polar de colmillos
MORTERO|Vasija de machacar
MOSAICO|Dibujo de teselas
MOSCA|Insecto molesto
MOSQUITO|Insecto que pica de noche
MOSTAZA|Salsa amarilla y picante
MOSTRADOR|Barra de la tienda
MOTIVO|Razón que impulsa
MOTOR|Genera el movimiento
MOVIMIENTO|Cambio de posición
MOZO|Joven que sirve
MUCHACHO|Chico de pocos años
MUDANZA|Cambio de domicilio
MUEBLE|Silla, mesa o armario
MUELA|Diente grande del fondo
MUELLE|Andén del puerto
MUERTE|Fin de la existencia
MUESTRA|Porción que se enseña
MUJER|Persona del sexo femenino
MULA|Híbrido de caballo y asno
MULETA|Ayuda al cojo a andar
MULTA|Sanción económica
MULTITUD|Gran cantidad de gente
MUNDO|Conjunto de todo lo existente
MUNECA|Juguete con forma de niña
MURALLA|Muro que defiende la ciudad
MURCIELAGO|Único mamífero que vuela
MURO|Pared gruesa y alta
MUSCULO|Carne que mueve el hueso
MUSEO|Sala de exposiciones permanentes
MUSGO|Planta que cubre las piedras
MUSICA|Arte de los sonidos
MUSLO|Parte superior de la pierna
MUSULMAN|Seguidor de Mahoma
MACABRO|Relacionado con la muerte
MACERAR|Ablandar en un líquido
MACHACAR|Golpear hasta desmenuzar
MACIZO|Lleno y sin huecos
MADRUGAR|Levantarse muy temprano
MADURAR|Llegar la fruta a su punto
MADURO|Ya en sazón
MAESTRIA|Gran destreza en un arte
MAGISTRADO|Juez de categoría alta
MAGNIFICO|Espléndido y grandioso
MAGNITUD|Tamaño de una cosa
MAGULLAR|Producir cardenales
MAJADERO|Necio y pesado
MAJESTUOSO|Imponente y solemne
MALDECIR|Echar maldiciones
MALEANTE|Delincuente habitual
MALEDUCADO|Sin modales
MALEFICIO|Daño causado por hechizo
MALETERO|Espacio de las maletas del coche
MALGASTAR|Derrochar el dinero
MALHECHOR|Quien comete delitos
MALHUMOR|Mal genio pasajero
MALICIA|Intención de hacer daño
MALIGNO|Que causa mal
MALOGRAR|Echar a perder
MALTRATAR|Tratar con violencia
MALVADO|De alma perversa
MAMAR|Chupar la leche materna
MANADERO|Sitio donde brota el agua
MANANTIAL|Fuente natural
MANAR|Brotar el agua
MANCHAR|Dejar señales de suciedad
MANCO|Falto de un brazo
MANDAR|Dar órdenes
MANEJAR|Usar con las manos
MANGONEAR|Entrometerse mandando
MANIATAR|Atar las manos
MANIFESTAR|Expresar en público
MANIOBRA|Movimiento calculado
MANIPULAR|Manejar a su antojo
MANJARES|Comidas deliciosas
MANOSEAR|Tocar mucho con las manos
MANSEDUMBRE|Suavidad del carácter
MANSO|Apacible y dócil
MANTENER|Sostener una cosa
MANUSCRITO|Escrito a mano
MANANA|Día siguiente a hoy
MAQUETA|Modelo a escala reducida
MAQUILLAR|Pintar el rostro
MARAVILLA|Cosa admirable
MARCAR|Poner una señal
MARCHAR|Ir hacia un sitio
MARCHITAR|Perder la lozanía la flor
MAREAR|Producir vértigo
MARGINAR|Dejar de lado a alguien
MARINO|Relativo al mar
MARIQUITA|Escarabajo rojo con puntos
MARITIMO|Del mar y sus costas
MARMOLERIA|Taller de la piedra pulida
MARRANO|Cerdo de la pocilga
MARRON|Color del chocolate
MARTILLEAR|Dar golpes repetidos
MASACRE|Matanza de mucha gente
MASCAR|Triturar con los dientes
MASCOTA|Animal de compañía
MASIVO|Que afecta a muchos
MASTICAR|Moler la comida en la boca
MATAR|Quitar la vida
MATASELLOS|Cuño que anula el sello
MATERNO|De la madre
MATIZAR|Dar tonos y precisiones
MATRICULAR|Inscribir en el curso
MAULLAR|Dar voces el gato
MAYORIA|La mayor parte
MAZORCA|Espiga del maíz
MECANISMO|Conjunto de piezas que se mueven
MECANOGRAFIA|Escritura a máquina
MECER|Mover la cuna
MEDIAR|Interponerse entre dos
MEDICAMENTO|Remedio contra la enfermedad
MEDIEVAL|De la Edad Media
MEDIR|Tomar las dimensiones
MEDITAR|Pensar profundamente
MEDULA|Sustancia del interior del hueso
MEJORAR|Poner mejor
MELANCOLIA|Tristeza suave y vaga
MELLIZO|Nacido en el mismo parto
MEMBRANA|Lámina delgada del cuerpo
MEMORIZAR|Aprender de memoria
MENCIONAR|Citar de pasada
MENDIGAR|Pedir por la calle
MENEAR|Mover de un lado a otro
MENGUAR|Disminuir la luna
MENOSPRECIO|Desdén hacia algo
MENSAJERO|Lleva los recados
MENSUAL|Que ocurre cada mes
MENTAL|De la mente
MENTIR|Faltar a la verdad
MENUDO|Muy pequeño
MERCADER|Comerciante antiguo
MERECER|Ser digno de algo
MERENDAR|Tomar algo a media tarde
MERODEAR|Rondar con malas intenciones
MERMAR|Reducirse la cantidad
MERMELADA|Fruta cocida con azúcar
MESURA|Moderación en los actos
METALICO|Hecho de metal
METEOROLOGIA|Ciencia del tiempo
METER|Introducir dentro
METICULOSO|Muy cuidadoso en el detalle
MEZCLAR|Juntar cosas distintas
MEZQUINO|Ruin y tacaño
MIEDOSO|Que se asusta de todo
MIGAJA|Trocito de pan
MIGRAR|Trasladarse de tierra
MILAGROSO|Que parece cosa del cielo
MILENIO|Mil años
MILICIA|Servicio de las armas
MIMAR|Tratar con mucho cariño
MIMO|Actor que actúa en silencio
MINAR|Socavar poco a poco
MINIATURA|Reproducción muy pequeña
MINIMO|Lo más pequeño posible
MIRADOR|Balcón con buenas vistas
MIRAR|Fijar la vista
MISERABLE|Muy pobre o ruin
MISIONERO|Predica en tierras lejanas
MITIGAR|Suavizar un dolor
MOBILIARIO|Conjunto de muebles
MOCEDAD|Época de la juventud
MODELAR|Dar forma al barro
MODERAR|Poner mesura
MODERNO|De los tiempos actuales
MODESTO|Que no presume
MODIFICAR|Cambiar algo
MODISTA|Cose vestidos de señora
MOFA|Burla despectiva
MOFLETE|Carrillo abultado
MOJADO|Empapado de agua
MOLER|Reducir a polvo
MOLESTAR|Causar incomodidad
MOLINERO|Trabaja en el molino
MOLUSCO|Animal de concha blanda
MONACAL|Propio de los monjes
MONETARIO|Relativo al dinero
MONOPOLIO|Dominio único de un mercado
MONOTONO|Siempre igual y aburrido
MONTAJE|Ensamblaje de piezas
MONTAR|Subirse al caballo
MONTARAZ|Que vive en el monte
MORAR|Habitar en un lugar
MORDAZ|De crítica hiriente
MORDER|Clavar los dientes
MORIBUNDO|Que está a punto de morir
MORIR|Perder la vida
MORTAJA|Sudario del difunto
MORTAL|Que ha de morir
MOSTRAR|Enseñar algo
MOTEAR|Salpicar de manchas
MOTIN|Rebelión de un grupo
MOTIVAR|Dar razones para actuar
MOVER|Cambiar de sitio
MOVIL|Teléfono de bolsillo
MUCHEDUMBRE|Gentío numeroso
MUDAR|Cambiar de estado
MUDO|Que no puede hablar
MUERMO|Persona muy aburrida
MUGIR|Dar voces la vaca
MUGRE|Suciedad grasienta
MULTAR|Imponer una sanción
MULTIPLICAR|Repetir un número
MUNICIPAL|Del ayuntamiento
MURMULLO|Ruido suave y continuo
MURMURAR|Hablar mal por lo bajo
MUSICAL|Relativo a la música
MUTILAR|Cortar un miembro
MUTUO|Recíproco entre dos
