# Formas verbales de segunda persona, definidas por sinónimo en la misma forma
ABRIAS|Destapabas lo cerrado
PENSASTE|Discurriste sobre ello
PERDIAS|Te quedabas sin ello
PERDISTE|Te quedaste sin ello
PESABAS|Tenías tu peso
PINTASTE|Cubriste de color
PISASTE|Pusiste el pie encima
PODIAS|Estabas en condiciones
PODRAS|Estarás en condiciones
PONDRAS|Colocarás en su sitio
PONIAS|Colocabas en su sitio
PREGUNTASTE|Hiciste la pregunta
PRESTASTE|Dejaste por un tiempo
PROBASTE|Hiciste la prueba
PUDISTE|Estuviste en condiciones
PUSISTE|Colocaste en su sitio
QUEDABAS|Permanecías allí
QUEDASTE|Permaneciste allí
QUERIAS|Deseabas con fuerza
QUERRAS|Desearás con fuerza
QUISISTE|Deseaste con fuerza
QUITASTE|Apartaste de en medio
RECIBISTE|Tomaste lo enviado
RECOGISTE|Juntaste del suelo
REGALASTE|Diste sin cobrar
REIAS|Mostrabas tu alegría
REPETIAS|Volvías a decirlo
ROMPISTE|Hiciste pedazos
SABIAS|Tenías noticia de ello
SABRAS|Tendrás noticia de ello
SACASTE|Extrajiste del hueco
SALDRAS|Marcharás fuera
SALIAS|Marchabas fuera
SALISTE|Marchaste fuera
SALTABAS|Brincabas de gozo
SALTASTE|Brincaste de gozo
SALUDASTE|Diste los buenos días
SEGUIAS|Ibas detrás
SEGUISTE|Fuiste detrás
SENTIAS|Percibías en el ánimo
SENTISTE|Percibiste en el ánimo
SERAS|Llegarás a ser
SERVIAS|Atendías la mesa
SOLTASTE|Dejaste libre
SUBIAS|Ascendías la escalera
SUBISTE|Ascendiste la escalera
SUFRISTE|Padeciste el mal
SUMASTE|Añadiste las cantidades
SUPISTE|Tuviste noticia de ello
TAPASTE|Cubriste el hueco
TARDABAS|Empleabas mucho tiempo
TEMIAS|Sentías miedo
TEMISTE|Sentiste miedo
TENDRAS|Poseerás en propiedad
TENIAS|Poseías en propiedad
TERMINASTE|Pusiste fin
TIRABAS|Arrojabas lejos
TIRASTE|Arrojaste lejos
TOCABAS|Ponías la mano encima
TOCASTE|Pusiste la mano encima
TOMABAS|Cogías para ti
TOMASTE|Cogiste para ti
TRABAJABAS|Ganabas tu jornal
TRAJISTE|Llevaste hasta aquí
TRATABAS|Te portabas con otro
TUVISTE|Poseíste en propiedad
USABAS|Te servías de ello
VALIAS|Tenías tu precio
VALDRAS|Tendrás tu precio
VENDIAS|Dabas por dinero
VENDRAS|Llegarás de camino
VENIAS|Llegabas de camino
VERAS|Percibirás con la vista
VIAJABAS|Recorrías tierras
VINISTE|Llegaste de camino
VISTE|Percibiste con la vista
VIVIAS|Tenías vida
VIVISTE|Tuviste vida
VOLABAS|Te sostenías en el aire
VOLVISTE|Regresaste al punto
