# Vocabulario general: palabras que empiezan por F
FABADA|Guiso asturiano de alubias
FORTUNA|Gran cantidad de bienes
FOSA|Hoyo para enterrar
FOSFORO|Cerilla que prende
FOTO|Instantánea de la cámara
FRACASO|Resultado desafortunado
FRACCION|Parte de la unidad
FRACTURA|Rotura del hueso
FRAGANCIA|Olor muy agradable
FRAGIL|Que se rompe fácil
FRAGMENTO|Trozo desprendido
FRAILE|Religioso de convento
FRANJA|Banda de color
FRANQUEO|Sellos de la carta
FRASCO|Botella pequeña de cristal
FRASE|Conjunto con sentido
FRATERNO|Propio de hermanos
FRAUDE|Engaño en provecho propio
FRECUENCIA|Repetición en el tiempo
FREGADERO|Pila de la cocina
FRENO|Detiene la marcha
FRENTE|Parte superior de la cara
FRESA|Fruta roja pequeña
FRESCO|Algo frío y agradable
FRIJOL|Judía americana
FRIO|Baja temperatura
FRITURA|Alimento hecho en aceite
FRONTERA|Línea entre dos países
FRUTA|Producto comestible del árbol
FRUTERO|Vende manzanas y peras
FUEGO|Combustión con llama
FUENTE|Manantial de la plaza
FUERO|Ley antigua de un territorio
FUERZA|Potencia física
FUGA|Escape del preso
FULANO|Persona indeterminada
FUNCION|Representación teatral
FUNDA|Cubierta protectora
FUNDACION|Institución sin ánimo de lucro
FUNERAL|Ceremonia por el difunto
FURGON|Vehículo cerrado de carga
FURIA|Ira desatada
FUSIBLE|Protege la instalación eléctrica
FUSIL|Arma larga del soldado
FUSTA|Látigo corto del jinete
FUTBOL|Deporte del balón redondo
FUTURO|Tiempo que está por venir
FABRICAR|Producir en serie
FABULOSO|Increíble y magnífico
FACETA|Cara de un diamante
FACHENDA|Presunción vanidosa
FACILITAR|Poner las cosas fáciles
FACTURAR|Entregar el equipaje
FACULTATIVO|Médico titulado
FAENAR|Pescar en alta mar
FAGOT|Instrumento grave de viento
FALACIA|Razonamiento engañoso
FALANGE|Hueso del dedo
FALDON|Parte baja de la camisa
FALLAR|No dar el resultado esperado
FALLECER|Dejar de vivir
FALSEAR|Alterar la verdad
FALSIFICAR|Imitar para engañar
FALTAR|No asistir a clase
FAMELICO|Muerto de hambre
FAMILIAR|Pariente cercano
FANATICO|Seguidor sin medida
FANFARRON|Presume de lo que no es
FANTASIA|Imaginación libre
FANTOCHE|Persona ridícula y presumida
FARANDULA|Mundo del espectáculo
FARDAR|Presumir de algo
FARFULLAR|Hablar atropelladamente
FARISEO|Hipócrita del evangelio
FARMACO|Medicamento recetado
FARSANTE|Que finge lo que no siente
FASCINAR|Atraer irresistiblemente
FASTIDIAR|Molestar con insistencia
FASTUOSO|De gran lujo
FATAL|De consecuencias mortales
FATIGAR|Dejar sin aliento
FATUO|Presumido y necio
FAVORECER|Ayudar a alguien
FAVORITO|El preferido de todos
FEALDAD|Falta de belleza
FEBRIL|Con mucha fiebre
FECUNDO|Que da muchos frutos
FEDERACION|Unión de clubes
FELICITAR|Dar la enhorabuena
FELIGRES|Miembro de una parroquia
FELPUDO|Alfombrilla de la entrada
FENECER|Morir o acabarse
FEROZ|De gran fiereza
FERRETERIA|Tienda de tornillos
FERROVIARIO|Empleado del tren
FERTILIZAR|Abonar la tierra
FESTEJAR|Celebrar con fiesta
FESTIVO|Día sin trabajo
FETICHE|Objeto al que se atribuye poder
FEUDAL|Propio de la Edad Media
FIAR|Vender sin cobrar al momento
FIASCO|Fracaso ruidoso
FIBROSO|Lleno de hebras
FICHAR|Contratar a un jugador
FICTICIO|Que no es real
FIDEDIGNO|Digno de crédito
FIERO|Bravo y temible
FIGON|Casa de comidas barata
FIGURAR|Aparecer en una lista
FIJAR|Sujetar firmemente
FIJO|Que no se mueve
FILANTROPO|Ama y ayuda a la humanidad
FILATELIA|Afición a los sellos
FILIACION|Datos personales de alguien
FILIGRANA|Trabajo delicado de orfebrería
FILMAR|Rodar una película
FILON|Veta de mineral
FILOSOFO|Piensa sobre el ser
FILTRAR|Pasar por el tamiz
FINALIZAR|Poner término
FINANCIAR|Aportar el dinero
FINGIR|Aparentar lo que no se es
FINIQUITO|Pago final al trabajador
FINURA|Delicadeza en el trato
FIRMAMENTO|Bóveda celeste
FIRMAR|Poner la rúbrica
FISCALIA|Órgano acusador
FISGAR|Curiosear lo ajeno
FISONOMIA|Aspecto del rostro
FISURA|Grieta muy fina
FLACIDEZ|Falta de firmeza en la carne
FLAGRANTE|Que se comete a la vista
FLAMANTE|Nuevo y reluciente
FLAMEAR|Ondear la bandera
FLANQUEAR|Ir a los lados
FLAQUEZA|Debilidad de carácter
FLEMATICO|Impasible ante todo
FLETAR|Alquilar un barco
FLEXION|Doblez de la rodilla
FLIRTEAR|Coquetear con alguien
FLOJEDAD|Falta de tensión
FLORECER|Echar flores la planta
FLORIDO|Lleno de flores
FLOTAR|Mantenerse sobre el agua
FLUCTUAR|Variar sin estabilidad
FLUIR|Correr el líquido
FOCAL|Relativo al foco
FOGOSO|Ardiente y apasionado
FOGUEAR|Acostumbrar al fuego
FOLCLORE|Tradiciones de un pueblo
FOLIAR|Numerar las hojas
FOMENTAR|Impulsar una actividad
FONDEAR|Echar el ancla
FONETICA|Estudio de los sonidos
FORASTERO|Que no es del lugar
FORCEJEAR|Luchar por soltarse
FORESTAL|Relativo a los bosques
FORJAR|Trabajar el hierro al fuego
FORMAL|Serio y cumplidor
FORMAR|Dar forma a algo
FORMIDABLE|Estupendo y enorme
FORNIDO|Robusto y musculoso
FORRAJE|Pasto seco del ganado
FORRAR|Cubrir con una funda
FORTALECER|Dar más fuerza
FORTIFICAR|Poner defensas
FORTUITO|Que ocurre por azar
FORZAR|Obligar por la fuerza
FOSFORESCENTE|Que brilla en la oscuridad
FOSIL|Resto petrificado antiguo
FOTOCOPIA|Reproducción en papel
FOTOGRAFO|Hace retratos
FRACASAR|Salir mal el intento
FRACCIONAR|Partir en porciones
FRAGANTE|De olor delicioso
FRAGOR|Ruido de la batalla
FRAGUA|Horno del herrero
FRANCES|Natural de París
FRANCO|Sincero y directo
FRANQUEAR|Poner los sellos
FRATERNIDAD|Unión entre hermanos
FRECUENTAR|Acudir a menudo
FREGAR|Limpiar los platos
FREIR|Cocinar en aceite hirviendo
FRENAR|Reducir la velocidad
FRENESI|Exaltación violenta
FRESCURA|Sensación de frescor
FRIALDAD|Falta de calor humano
FRICCION|Roce entre dos cuerpos
FRIGORIFICO|Aparato que enfría
FRIVOLO|Superficial y ligero
FRONDOSO|De follaje espeso
FRONTAL|De la parte delantera
FROTAR|Restregar con fuerza
FRUCTIFERO|Que da mucho fruto
FRUGAL|Que come muy poco
FRUNCIR|Arrugar el ceño
FRUSTRAR|Dejar sin efecto un plan
FUGARSE|Escapar de la prisión
FUGAZ|De muy breve duración
FULGOR|Resplandor intenso
FULMINAR|Matar de un rayo
FUMADOR|Aficionado al tabaco
FUMIGAR|Desinfectar con humo
FUNCIONAR|Andar bien la máquina
FUNCIONARIO|Trabaja para el Estado
FUNDAR|Crear una institución
FUNDIR|Derretir el metal
FUNEBRE|Propio del entierro
FUNESTO|De muy malas consecuencias
FURIOSO|Lleno de ira
FURTIVO|Que caza a escondidas
FUSELAJE|Cuerpo del avión
FUSILAR|Ejecutar con armas de fuego
FUSION|Unión de dos empresas
FUSTIGAR|Azotar con la fusta
FUTILIDAD|Cosa sin ninguna importancia
FUTBOLISTA|Juega en el equipo
