# Plurales de vocabulario temático
ABEDULES|Árboles de corteza blanca
GOLONDRINAS|Aves de cola ahorquillada
GORRIONES|Pajarillos pardos de ciudad
GRULLAS|Aves zancudas migratorias
HALCONES|Rapaces de vuelo veloz
JILGUEROS|Pájaros de cara roja
LECHUZAS|Rapaces nocturnas de cara blanca
LOROS|Aves que repiten palabras
MIRLOS|Pájaros negros de pico amarillo
MOCHUELOS|Rapaces nocturnas pequeñas
PALOMAS|Aves de la paz
PATOS|Aves palmípedas del estanque
PAVOS|Aves grandes de Navidad
PELICANOS|Aves de gran bolsa en el pico
PERDICES|Aves de caza de las rastrojeras
PETIRROJOS|Pájaros de pecho colorado
PINGUINOS|Aves del hielo que nadan
RUISENORES|Aves de canto melodioso
TUCANES|Aves tropicales de pico enorme
URRACAS|Aves blancas y negras ladronas
VENCEJOS|Aves de vuelo rapidísimo
ARDILLAS|Roedores de cola espesa
BALLENAS|Mayores mamíferos del mar
BISONTES|Bóvidos de las praderas
BUFALOS|Bóvidos salvajes de cuernos curvos
CABALLOS|Animales de silla
CACHALOTES|Cetáceos de cabeza enorme
CAIMANES|Cocodrilos americanos
CAMALEONES|Reptiles que cambian de color
CAMELLOS|Animales de dos jorobas
CANGUROS|Marsupiales saltarines
CASTORES|Roedores que levantan presas
CEBRAS|Équidos africanos de rayas
CIERVOS|Rumiantes de cuerna ramificada
COCODRILOS|Reptiles de fauces enormes
COMADREJAS|Pequeños carnívoros alargados
CONDORES|Grandes buitres de los Andes
CONEJOS|Roedores de madriguera
CORZOS|Pequeños cérvidos del bosque
DELFINES|Cetáceos juguetones
DROMEDARIOS|Camélidos de una joroba
ELEFANTES|Mayores mamíferos terrestres
ERIZOS|Mamíferos cubiertos de púas
FOCAS|Mamíferos marinos de los hielos
GACELAS|Antílopes ligeros y gráciles
GORILAS|Mayores de los simios
GUEPARDOS|Felinos más veloces
HIENAS|Carroñeras africanas
HIPOPOTAMOS|Paquidermos de los ríos africanos
JABALIES|Suidos salvajes del monte
JAGUARES|Grandes felinos americanos
JIRAFAS|Mamíferos de cuello larguísimo
KOALAS|Marsupiales que comen eucalipto
LAGARTIJAS|Pequeños reptiles de los muros
LAGARTOS|Reptiles de cola larga
LEONES|Felinos de melena
LEOPARDOS|Felinos de pelaje manchado
LIEBRES|Lagomorfos veloces del campo
LINCES|Felinos de orejas con pinceles
LOBOS|Cánidos salvajes de manada
MAPACHES|Mamíferos americanos de antifaz
MARMOTAS|Roedores que hibernan
MORSAS|Mamíferos polares de colmillos
MURCIELAGOS|Mamíferos que vuelan de noche
NUTRIAS|Mamíferos acuáticos de río
ORCAS|Cetáceos blancos y negros
OSOS|Plantígrados de gran tamaño
PANTERAS|Leopardos de pelaje negro
PUMAS|Felinos americanos de monte
RENOS|Cérvidos del norte helado
RINOCERONTES|Paquidermos del cuerno nasal
SERPIENTES|Reptiles sin extremidades
TEJONES|Mamíferos de hocico rayado
TIBURONES|Escualos de aleta dorsal
TIGRES|Felinos rayados de Asia
TOPOS|Mamíferos cavadores ciegos
TORTUGAS|Reptiles de caparazón
VIBORAS|Ofidios venenosos
ZORROS|Cánidos de cola espesa
ABEJORROS|Insectos grandes y velludos
ARANAS|Artrópodos que tejen telas
AVISPAS|Insectos de picadura dolorosa
CIGARRAS|Insectos que cantan en verano
CUCARACHAS|Insectos nocturnos de cocina
ESCARABAJOS|Insectos de élitros duros
GRILLOS|Insectos de canto nocturno
HORMIGAS|Insectos sociales laboriosos
LIBELULAS|Insectos de alas transparentes
LUCIERNAGAS|Insectos que emiten luz
MARIPOSAS|Insectos de alas de colores
MARIQUITAS|Escarabajos rojos con lunares
MOSCAS|Dípteros molestos
MOSQUITOS|Insectos chupadores de sangre
ORUGAS|Larvas de las mariposas
PIOJOS|Insectos parásitos del cabello
PULGAS|Insectos saltadores parásitos
SALTAMONTES|Insectos de patas saltadoras
TERMITAS|Insectos que devoran la madera
ALBORNOCES|Batas de tela de toalla
BUFANDAS|Prendas largas del cuello
CALCETINES|Prendas de los pies
CAMISETAS|Prendas de manga corta
CHALECOS|Prendas sin mangas
CHAQUETAS|Prendas abiertas de vestir
CINTURONES|Ciñen los pantalones
CORBATAS|Adornos del cuello de la camisa
DELANTALES|Protegen la ropa al cocinar
FALDAS|Prendas que caen de la cintura
GABARDINAS|Abrigos impermeables
GORRAS|Prendas con visera
GUANTES|Prendas de las manos
JERSEYS|Prendas de punto
PANUELOS|Telas cuadradas de varios usos
PIJAMAS|Ropas de dormir
SANDALIAS|Calzados abiertos
SOMBREROS|Prendas de copa y ala
VESTIDOS|Prendas femeninas de una pieza
ZAPATILLAS|Calzados cómodos de casa
ALICATES|Herramientas de apretar y cortar
BROCAS|Puntas que perforan
CINCELES|Herramientas que tallan la piedra
DESTORNILLADORES|Herramientas de atornillar
ESCUADRAS|Marcan el ángulo recto
FORMONES|Cortan la madera a golpe
LIMAS|Herramientas que desgastan el metal
MARTILLOS|Herramientas de golpear
NIVELES|Comprueban la horizontal
PLOMADAS|Marcan la vertical
SERRUCHOS|Sierras de mano de hoja ancha
TALADROS|Hacen agujeros en la pared
TENAZAS|Herramientas de agarrar
TIJERAS|Cortan con dos hojas
ACORDEONES|Instrumentos de fuelle y teclas
ARPAS|Instrumentos de cuerdas verticales
BATERIAS|Conjuntos de tambores y platos
CLARINETES|Instrumentos de viento con lengüeta
FLAUTAS|Instrumentos de viento con agujeros
GAITAS|Instrumentos de fuelle y punteros
GUITARRAS|Instrumentos de seis cuerdas
PANDERETAS|Instrumentos de sonajas
PIANOS|Instrumentos de teclas
SAXOFONES|Instrumentos de viento del jazz
TAMBORES|Instrumentos de percusión de parche
TROMBONES|Instrumentos de metal con vara
TROMPETAS|Instrumentos de metal con pistones
VIOLINES|Instrumentos de arco más agudos
VIOLONCHELOS|Instrumentos de arco graves
XILOFONOS|Instrumentos de láminas y baquetas
