# Gastronomía, cocina y alimentos
PAELLA|Arroz valenciano con azafrán
VINO|Bebida de uva fermentada
TINTO|Vino de color oscuro
BLANCO|Vino de uva sin hollejo
ROSADO|Vino de color claro rojizo
CAVA|Espumoso elaborado en Cataluña
CHAMPAN|Espumoso francés
SIDRA|Bebida de manzana fermentada
CERVEZA|Bebida de cebada con lúpulo
CANA|Vaso pequeño de cerveza
JARRA|Recipiente grande de bebida
CLARA|Cerveza con gaseosa
SANGRIA|Vino con fruta y azúcar
VERMUT|Vino aromatizado de aperitivo
COÑAC|Aguardiente de vino
BRANDY|Aguardiente envejecido en barrica
ORUJO|Aguardiente del hollejo de la uva
PACHARAN|Licor navarro de endrinas
ANIS|Licor dulce de sabor a matalahúva
LICOR|Bebida dulce de alta graduación
RON|Aguardiente de caña de azúcar
GINEBRA|Aguardiente aromatizado con enebro
VODKA|Aguardiente de cereal o patata
WHISKY|Aguardiente de malta
TEQUILA|Aguardiente mexicano de agave
SAL|Condimento blanco imprescindible
PIMIENTA|Especia de grano negro
PIMENTON|Polvo rojo del pimiento seco
AZAFRAN|Especia roja de hebras
CANELA|Especia en rama de olor dulce
CLAVO|Especia en forma de clavito
NUEZMOSCADA|Especia que se ralla
COMINO|Especia de sabor intenso
OREGANO|Hierba de la pizza
LAUREL|Hoja aromática del guiso
PEREJIL|Hierba verde muy usada
CILANTRO|Hierba de sabor cítrico
ALBAHACA|Hierba aromática italiana
ESTRAGON|Hierba de la cocina francesa
HINOJO|Planta de sabor anisado
JENGIBRE|Raíz picante oriental
CURRY|Mezcla de especias de la India
VAINILLA|Aroma dulce de vaina
AZUCAR|Endulzante de la caña o la remolacha
MIEL|Producto dulce de las abejas
MELAZA|Jarabe espeso y oscuro
ALMIBAR|Jarabe de azúcar y agua
CARAMELO|Azúcar fundido y dorado
ACEITE|Grasa líquida vegetal
OLIVA|Fruto del que se extrae el aceite
VINAGRE|Líquido ácido del aliño
MOSTAZA|Salsa amarilla y picante
KETCHUP|Salsa de tomate dulce
LECHUGA|Verdura base de la ensalada
TOMATE|Fruto rojo de la ensalada
PEPINO|Hortaliza verde y refrescante
CEBOLLA|Bulbo que hace llorar
AJO|Bulbo de dientes aromáticos
PIMIENTO|Hortaliza hueca verde o roja
CALABACIN|Hortaliza verde alargada
BERENJENA|Hortaliza morada
CALABAZA|Hortaliza grande y naranja
ZANAHORIA|Raíz naranja y dulce
PATATA|Tubérculo de la tortilla
BONIATO|Tubérculo dulce
NABO|Raíz blanca de guiso
REMOLACHA|Raíz roja y dulce
PUERRO|Hortaliza blanca y alargada
ESPINACA|Verdura de hoja verde oscura
ACELGA|Verdura de penca blanca
COLIFLOR|Verdura blanca en ramilletes
BROCOLI|Verdura verde en ramilletes
REPOLLO|Col de hojas apretadas
ALCACHOFA|Hortaliza de hojas carnosas
ESPARRAGO|Brote comestible
GUISANTE|Legumbre verde y redonda
JUDIA|Legumbre de vaina alargada
LENTEJA|Legumbre pequeña y plana
GARBANZO|Legumbre del cocido
ALUBIA|Judía seca de guiso
SOJA|Legumbre de origen asiático
MANZANA|Fruta de la tarta
PERA|Fruta de cuello estrecho
NARANJA|Cítrico de gajos
MANDARINA|Cítrico pequeño y fácil de pelar
LIMON|Cítrico amarillo y ácido
POMELO|Cítrico grande y amargo
PLATANO|Fruta amarilla y curva
UVA|Fruto del racimo
FRESA|Fruta roja de primavera
CEREZA|Fruta roja con rabito
CIRUELA|Fruta morada y jugosa
MELOCOTON|Fruta de piel aterciopelada
ALBARICOQUE|Fruta naranja pequeña
NECTARINA|Fruta de piel lisa parecida al melocotón
HIGO|Fruto dulce de verano
BREVA|Primer fruto de la higuera
MELON|Fruta grande de pulpa clara
SANDIA|Fruta de pulpa roja y pepitas
PINA|Fruta tropical de corona
KIWI|Fruta verde de piel peluda
MANGO|Fruta tropical anaranjada
PAPAYA|Fruta tropical de pulpa naranja
AGUACATE|Fruto verde y cremoso
COCO|Fruto tropical de agua dulce
DATIL|Fruto dulce de la palmera
GRANADA|Fruta de granos rojos
CAQUI|Fruta naranja de otoño
CHIRIMOYA|Fruta tropical blanca
MEMBRILLO|Fruta del dulce de otoño
NISPERO|Fruta naranja de primavera
MORA|Fruto negro de la zarza
FRAMBUESA|Fruta roja del bosque
ARANDANO|Baya azulada del bosque
GROSELLA|Baya roja y ácida
ALMENDRA|Fruto seco del turrón
NUEZ|Fruto seco de dos mitades
AVELLANA|Fruto seco redondo
PISTACHO|Fruto seco verde
CACAHUETE|Fruto seco de cáscara blanda
PINON|Semilla del pino comestible
CASTANA|Fruto del erizo del otoño
PASA|Uva secada al sol
OREJON|Albaricoque desecado
CIRUELAPASA|Fruta seca laxante
SALMON|Pescado rosado ahumado
MERLUZA|Pescado blanco de mesa
BACALAO|Pescado que se sala y seca
LUBINA|Pescado blanco muy fino
DORADA|Pescado de mancha dorada
RODABALLO|Pescado plano apreciado
LENGUADO|Pescado plano alargado
SARDINA|Pescado azul de espeto
BOQUERON|Pescado pequeño en vinagre
ANCHOA|Boquerón curado en salazón
ATUN|Pescado azul de gran tamaño
BONITO|Túnido del Cantábrico
TRUCHA|Pescado de río
GAMBA|Crustáceo rosado
LANGOSTINO|Crustáceo grande y sabroso
CIGALA|Crustáceo de pinzas largas
BOGAVANTE|Crustáceo azulado de pinzas
CENTOLLA|Crustáceo de patas largas
NECORA|Crustáceo pequeño y sabroso
PERCEBE|Marisco de las rocas
ALMEJA|Bivalvo de la arena
MEJILLON|Bivalvo de concha negra
BERBERECHO|Bivalvo de concha estriada
NAVAJA|Molusco alargado de la arena
OSTRA|Bivalvo que se come crudo
VIEIRA|Concha del peregrino
PULPO|Molusco de ocho brazos
CALAMAR|Molusco de diez brazos
CHIPIRON|Calamar pequeño
SEPIA|Molusco de hueso blanco
CHEF|Jefe de cocina
COCINERO|Quien prepara los platos
PINCHE|Ayudante de cocina
CAMARERO|Sirve en las mesas
SUMILLER|Experto en vinos del restaurante
MENU|Lista de los platos del día
CARTA|Relación de platos y precios
COMENSAL|Quien se sienta a la mesa
BANQUETE|Comida de muchos invitados
BUFE|Comida servida para servirse uno mismo
RECETA|Instrucciones para cocinar un plato
INGREDIENTE|Cada componente de la receta
RACIONAR|Repartir en porciones
REHOGAR|Sofreír a fuego suave
SALTEAR|Freír a fuego vivo moviendo
GRATINAR|Dorar por encima en el horno
MARINAR|Dejar en un aliño líquido
MACERAR|Ablandar en un líquido
AMASAR|Trabajar la masa con las manos
BATIR|Remover con energía
ESPUMAR|Quitar la espuma del caldo
DESALAR|Quitar la sal en remojo
ESCALDAR|Sumergir un instante en agua hirviendo
ADEREZAR|Sazonar un plato
CONDIMENTAR|Dar sabor con especias
DEGUSTAR|Probar con atención
SABOREAR|Disfrutar del sabor
